tissue,dataset,gene,level,rank,fraction_of_top
geniculate,GSE102443,Oprl1,5.7328979166666665,1,1.0
geniculate,GSE102443,Oprk1,0.8289000000000001,2,0.14458656198817427
geniculate,GSE102443,Oprd1,0.30514687499999993,3,0.05322733448870207
geniculate,GSE102443,Oprm1,0.18286145833333334,4,0.03189686280680473
geniculate,GSE135801,Oprl1,18.98253115945732,1,1.0
geniculate,GSE135801,Oprd1,4.722832700349585,2,0.24879889097385277
geniculate,GSE135801,Oprk1,3.6103387052271314,3,0.1901926921599398
geniculate,GSE135801,Oprm1,0.013032671796071425,4,0.0006865613277067318
