tissue,dataset,Oprl1,Pnoc,Oprl1_over_Pnoc,Pnoc_in_matrix,Oprl1_transcriptome_percentile
geniculate,GSE102443,5.7329,0.0,,False,63.8
geniculate,GSE135801,18.9825,0.5981,31.740524577111128,True,65.7
