tissue,dataset,gene,level,rank,fraction_of_top
NTS,GSE166648,Oprm1,118.03951455969828,1,1.0
NTS,GSE166648,Oprl1,15.786300232640981,2,0.13373742082493137
NTS,GSE166648,Oprk1,11.750634279903503,3,0.09954831078164626
NTS,GSE166648,Oprd1,9.621445333811431,4,0.08151037700977161
