partner,n_partner_pos,pct_of_partner_pos_that_are_Oprl1_pos,pct_of_partner_neg_that_are_Oprl1_pos,depth_stratified_OR,p_depth,cluster_depth_stratified_OR,p_cluster_depth,n_cluster_depth_strata
Piezo2,3736,22.19,6.94,3.274,4.2914056561241016e-132,1.316,0.0004926205834424052,41
Trpv1,10828,6.81,10.78,0.335,8.938782218437846e-114,0.836,0.011149832235869316,42
