dataset,gene,neuron_CPM,non_neuron_CPM,n_neurons,n_non_neurons,log2_enrichment
GSE166648 (NTS),Oprl1,15.7863,13.8881,49392,22736,0.185
GSE166648 (NTS),Oprm1,118.0395,23.2713,49392,22736,2.342
GSE166648 (NTS),Oprd1,9.6214,0.9862,49392,22736,3.273
GSE166648 (NTS),Oprk1,11.7506,2.7625,49392,22736,2.085
GSE166648 (NTS),Snap25,890.2287,322.1321,49392,22736,1.466
