gene,spearman_rho,p_value,q_value,mean_CPM_across_clusters
Mgrn1,0.5844,0.005399998364912409,0.0447,43.65
Erlec1,0.5844,0.005399998364912409,0.0447,40.47
Atxn2,0.5844,0.005399998364912409,0.0447,55.93
Tmem191,0.5844,0.005399998364912409,0.0447,18.75
Bhlhe40,0.5844,0.005399998364912409,0.0447,39.61
Cnnm2,0.5844,0.005399998364912409,0.0447,14.37
Cox11,0.5844,0.005399998364912409,0.0447,20.06
Phf20l1,0.5844,0.005399998364912409,0.0447,44.78
Fbln2,0.5844,0.005399998364912409,0.0447,21.64
Ercc2,0.5844,0.005399998364912409,0.0447,11.13
A330009N23Rik,0.584,0.005445402920789523,0.045,0.72
Hps4,0.5831,0.005529078966453104,0.0454,22.94
Tmem163,0.5831,0.005529078966453104,0.0454,28.3
Ppp1r37,0.5831,0.005529078966453104,0.0454,59.02
Fem1c,0.5831,0.005529078966453104,0.0454,34.91
Wbp1,0.5831,0.005529078966453104,0.0454,44.86
Jmy,0.5831,0.005529078966453104,0.0454,40.57
Tut1,0.5831,0.005529078966453104,0.0454,5.34
Itm2c,0.5831,0.005529078966453104,0.0454,310.84
Ldoc1,0.5831,0.005529078966453104,0.0454,1.26
Gcdh,0.5831,0.005529078966453104,0.0454,9.25
Septin4,0.5831,0.005529078966453104,0.0454,18.68
Selenoo,0.5818,0.00566070222608447,0.046,15.51
Os9,0.5818,0.00566070222608447,0.046,49.51
D3Ertd751e,0.5818,0.00566070222608447,0.046,6.23
Rundc1,0.5818,0.00566070222608447,0.046,14.97
Plscr2,0.5818,0.00566070222608447,0.046,7.06
Ankle2,0.5818,0.00566070222608447,0.046,16.8
Csk,0.5818,0.00566070222608447,0.046,91.95
Mob1a,0.5818,0.00566070222608447,0.046,16.39
Khdc4,0.5818,0.00566070222608447,0.046,22.76
Tmem59,0.5818,0.00566070222608447,0.046,183.31
Pianp,0.5818,0.00566070222608447,0.046,61.98
Stx16,0.5818,0.00566070222608447,0.046,42.33
Ncl,0.5818,0.00566070222608447,0.046,96.38
Gm39244,0.5814,0.0057079986614792045,0.0464,6.19
Zfhx3,0.5805,0.005794906424646416,0.0467,282.98
Akap6,0.5805,0.005794906424646416,0.0467,230.37
Ikzf2,0.5805,0.005794906424646416,0.0467,28.44
Egln3,0.5805,0.005794906424646416,0.0467,12.08
Eftud2,0.5805,0.005794906424646416,0.0467,20.92
Itgb8,0.5805,0.005794906424646416,0.0467,21.83
2700097O09Rik,0.5805,0.005794906424646416,0.0467,6.17
Il18bp,0.5805,0.005794906424646416,0.0467,3.48
Zkscan8,0.5805,0.005794906424646416,0.0467,18.97
Snrnp70,0.5805,0.005794906424646416,0.0467,109.44
A230103L15Rik,0.5805,0.005794906424646416,0.0467,4.07
Zdhhc1,0.5805,0.005794906424646416,0.0467,17.74
Angpt4,0.5805,0.005794906424646416,0.0467,4.65
Fxyd1,0.5805,0.005794906424646416,0.0467,66.68
Syndig1,0.58,0.005852003077072959,0.0471,3.51
Cgrrf1,0.5792,0.005931730203525632,0.0472,24.0
Fam171a1,0.5792,0.005931730203525632,0.0472,42.3
Mettl6,0.5792,0.005931730203525632,0.0472,8.62
Ripor1,0.5792,0.005931730203525632,0.0472,32.72
Gata3,0.5792,0.005931730203525632,0.0472,8.8
Rbbp9,0.5792,0.005931730203525632,0.0472,7.45
Cyp2d22,0.5792,0.005931730203525632,0.0472,3.26
Cdkn1c,0.5792,0.005931730203525632,0.0472,1.66
Nr2f1,0.5792,0.005931730203525632,0.0472,23.52
Ddx19a,0.5792,0.005931730203525632,0.0472,9.65
Cdc42ep3,0.5792,0.005931730203525632,0.0472,16.39
Zfp266,0.5792,0.005931730203525632,0.0472,34.53
Gm48203,0.5792,0.005931730203525632,0.0472,0.64
Srrt,0.5792,0.005931730203525632,0.0472,36.64
Fxr2,0.5792,0.005931730203525632,0.0472,117.44
Cntnap5a,0.5792,0.005931730203525632,0.0472,50.01
Mtdh,0.5792,0.005931730203525632,0.0472,97.02
Gm37711,0.5791,0.005944873163515057,0.0473,0.71
Ky,0.5787,0.00599011897554772,0.0476,2.11
Gm48713,0.5781,0.0060508843848727815,0.0479,0.64
Emg1,0.5779,0.006071212564747679,0.0479,40.13
Pdpn,0.5779,0.006071212564747679,0.0479,7.58
Trim33,0.5779,0.006071212564747679,0.0479,28.09
Tmem178b,0.5779,0.006071212564747679,0.0479,52.76
Epha4,0.5779,0.006071212564747679,0.0479,7.95
Lhfpl2,0.5779,0.006071212564747679,0.0479,23.17
Psmd12,0.5779,0.006071212564747679,0.0479,72.3
Mblac2,0.5779,0.006071212564747679,0.0479,41.4
Tlcd4,0.5779,0.006071212564747679,0.0479,76.42
Hspb7,0.5779,0.006071212564747679,0.0479,6.69
Gm44240,0.5775,0.006116927516594812,0.0481,0.48
Lair1,0.5766,0.006213392871018547,0.0483,1.5
Dcaf1,0.5766,0.006213392871018547,0.0483,18.92
Eno2,0.5766,0.006213392871018547,0.0483,449.62
Pid1,0.5766,0.006213392871018547,0.0483,10.46
E130114P18Rik,0.5766,0.006213392871018547,0.0483,2.51
Slc38a10,0.5766,0.006213392871018547,0.0483,60.43
Gdap1,0.5766,0.006213392871018547,0.0483,161.11
St3gal3,0.5766,0.006213392871018547,0.0483,11.06
Uvrag,0.5766,0.006213392871018547,0.0483,26.51
Vps13c,0.5766,0.006213392871018547,0.0483,49.87
Tspan7,0.5766,0.006213392871018547,0.0483,335.68
Safb2,0.5766,0.006213392871018547,0.0483,25.85
Trp53bp1,0.5766,0.006213392871018547,0.0483,51.53
Cog4,0.5766,0.006213392871018547,0.0483,27.74
Ints1,0.5766,0.006213392871018547,0.0483,27.02
Pym1,0.5766,0.006213392871018547,0.0483,9.69
Yars2,0.5766,0.006213392871018547,0.0483,8.31
Col28a1,0.5766,0.006213392871018547,0.0483,6.37
Clrn1,0.5766,0.006213392871018547,0.0483,7.36
Faim2,0.5766,0.006213392871018547,0.0483,289.51
Iqcb1,0.5766,0.006213392871018547,0.0483,17.59
Srpk2,0.5766,0.006213392871018547,0.0483,126.37
Pcdhb14,0.5766,0.006213392871018547,0.0483,5.52
Carmil3,0.5753,0.006358310845714959,0.0489,58.4
Lrfn4,0.5753,0.006358310845714959,0.0489,19.4
Ahcy,0.5753,0.006358310845714959,0.0489,6.9
Brwd1,0.5753,0.006358310845714959,0.0489,49.94
Usp53,0.5753,0.006358310845714959,0.0489,11.81
Fos,0.5753,0.006358310845714959,0.0489,472.84
Ppp1r10,0.5753,0.006358310845714959,0.0489,34.76
Gas1,0.5753,0.006358310845714959,0.0489,2.69
Clec16a,0.5753,0.006358310845714959,0.0489,16.97
Sympk,0.5753,0.006358310845714959,0.0489,41.58
Peg10,0.5753,0.006358310845714959,0.0489,25.97
Cracd,0.5753,0.006358310845714959,0.0489,96.26
Kctd17,0.5753,0.006358310845714959,0.0489,90.0
Ercc6,0.5753,0.006358310845714959,0.0489,7.88
Gm42611,0.5753,0.006358310845714959,0.0489,1.67
Myo5b,0.5749,0.006410608484457451,0.0493,2.1
Gm43175,0.5748,0.0064207181580453335,0.0493,1.4
Ush1g,0.5748,0.0064207181580453335,0.0493,0.89
Srgap2,0.574,0.006506006572823369,0.0496,19.77
Gja1,0.574,0.006506006572823369,0.0496,6.43
Rasgrf1,0.574,0.006506006572823369,0.0496,25.17
Lrfn5,0.574,0.006506006572823369,0.0496,53.36
Fbxo11,0.574,0.006506006572823369,0.0496,54.44
Hexb,0.574,0.006506006572823369,0.0496,25.99
Trdmt1,0.574,0.006506006572823369,0.0496,3.89
Pom121,0.574,0.006506006572823369,0.0496,50.24
Pbx3,0.574,0.006506006572823369,0.0496,28.92
Kdm1a,0.574,0.006506006572823369,0.0496,46.82
Lamp5,0.574,0.006506006572823369,0.0496,18.36
Bckdha,0.574,0.006506006572823369,0.0496,21.16
Lpcat2,0.574,0.006506006572823369,0.0496,2.65
Gm44167,0.5733,0.0065906126237794726,0.0502,1.14
H2-DMa,0.5727,0.006656520496826805,0.0503,12.07
Lrp8os3,0.5727,0.006656520496826805,0.0503,2.32
Ttc39a,0.5727,0.006656520496826805,0.0503,9.52
Tbc1d10a,0.5727,0.006656520496826805,0.0503,9.23
Sf3b3,0.5727,0.006656520496826805,0.0503,40.36
Gng7,0.5727,0.006656520496826805,0.0503,10.22
Zswim8,0.5727,0.006656520496826805,0.0503,48.36
Lingo1,0.5727,0.006656520496826805,0.0503,42.42
Dhrs4,0.5727,0.006656520496826805,0.0503,16.8
Nrtn,0.5727,0.006656520496826805,0.0503,9.64
Gm45220,0.5727,0.006656520496826805,0.0503,5.33
Ints10,0.5727,0.006656520496826805,0.0503,14.35
Tgfbi,0.5727,0.006656520496826805,0.0503,1.79
Col27a1,0.5727,0.006656520496826805,0.0503,17.24
Cyp4f14,0.572,0.0067432362425498054,0.0509,0.93
Brinp3,0.572,0.0067432362425498054,0.0509,10.52
Lage3,0.5714,0.006809893422539684,0.051,32.63
Leng8,0.5714,0.006809893422539684,0.051,85.18
Zup1,0.5714,0.006809893422539684,0.051,9.65
Afap1l2,0.5714,0.006809893422539684,0.051,7.6
Dcx,0.5714,0.006809893422539684,0.051,10.07
Stxbp5l,0.5714,0.006809893422539684,0.051,7.7
Pacs1,0.5714,0.006809893422539684,0.051,30.46
Ecsit,0.5714,0.006809893422539684,0.051,19.7
Mrps5,0.5714,0.006809893422539684,0.051,55.65
Gm45177,0.5714,0.006809893422539684,0.051,1.15
Rbp1,0.5714,0.006809893422539684,0.051,9.82
Myo6,0.5714,0.006809893422539684,0.051,16.12
Zfp568,0.5714,0.006809893422539684,0.051,3.08
Usp20,0.5714,0.006809893422539684,0.051,118.77
Pex13,0.5714,0.006809893422539684,0.051,29.78
Sptbn2,0.5714,0.006809893422539684,0.051,68.89
2810030D12Rik,0.5713,0.006820633386587701,0.051,0.9
C1qtnf4,0.5701,0.00696616651488972,0.0514,58.83
Tgm2,0.5701,0.00696616651488972,0.0514,10.73
Mapk8ip1,0.5701,0.00696616651488972,0.0514,202.71
Clic5,0.5701,0.00696616651488972,0.0514,5.74
Lmtk3,0.5701,0.00696616651488972,0.0514,12.56
Sema3g,0.5701,0.00696616651488972,0.0514,2.02
Miga2,0.5701,0.00696616651488972,0.0514,39.54
Dus3l,0.5701,0.00696616651488972,0.0514,26.66
Ptpa,0.5701,0.00696616651488972,0.0514,216.32
Gm42445,0.5701,0.00696616651488972,0.0514,0.93
Pcyox1,0.5701,0.00696616651488972,0.0514,105.98
Mipep,0.5701,0.00696616651488972,0.0514,8.12
Atf7ip,0.5701,0.00696616651488972,0.0514,39.22
Mroh7,0.5701,0.00696616651488972,0.0514,2.16
Senp7,0.5701,0.00696616651488972,0.0514,31.69
D130019J16Rik,0.5701,0.00696616651488972,0.0514,0.98
Gm43006,0.5701,0.00696616651488972,0.0514,1.33
Amotl2,0.5701,0.00696616651488972,0.0514,16.0
Fyco1,0.5701,0.00696616651488972,0.0514,9.04
Zbtb26,0.5701,0.00696616651488972,0.0514,5.87
Grm4,0.5701,0.00696616651488972,0.0514,5.67
Pnisr,0.5701,0.00696616651488972,0.0514,101.19
Shox2,0.5697,0.007022755393355596,0.0518,7.94
Cdh6,0.5688,0.007125381298647018,0.0522,25.7
Ing3,0.5688,0.007125381298647018,0.0522,10.55
Cbfa2t2,0.5688,0.007125381298647018,0.0522,17.47
Mob1b,0.5688,0.007125381298647018,0.0522,26.81
Gm26638,0.5688,0.007125381298647018,0.0522,4.14
Slc25a42,0.5688,0.007125381298647018,0.0522,10.6
Dock8,0.5688,0.007125381298647018,0.0522,2.57
Egf,0.5688,0.007125381298647018,0.0522,3.04
Alyref2,0.5688,0.007125381298647018,0.0522,4.27
Rnd2,0.5688,0.007125381298647018,0.0522,48.55
Ldb3,0.5688,0.007125381298647018,0.0522,23.31
Wdr37,0.5688,0.007125381298647018,0.0522,70.2
Chrna4,0.5684,0.007183084704774696,0.0526,12.05
Frrs1,0.5683,0.007194978728127602,0.0527,0.46
Hapln1,0.5677,0.0072643719435336014,0.0528,2.91
Dctn1,0.5675,0.007287579658099422,0.0528,256.16
Tns1,0.5675,0.007287579658099422,0.0528,153.93
Cdh22,0.5675,0.007287579658099422,0.0528,21.18
Rcbtb1,0.5675,0.007287579658099422,0.0528,63.04
Zfp362,0.5675,0.007287579658099422,0.0528,11.89
Lum,0.5675,0.007287579658099422,0.0528,2.73
Gal3st1,0.5675,0.007287579658099422,0.0528,7.94
Arl6ip6,0.5675,0.007287579658099422,0.0528,11.15
Zfp692,0.5675,0.007287579658099422,0.0528,11.09
Pepd,0.5675,0.007287579658099422,0.0528,20.42
Nos1ap,0.5675,0.007287579658099422,0.0528,4.56
Rcc1l,0.5675,0.007287579658099422,0.0528,9.21
Gm37490,0.5675,0.007287579658099422,0.0528,1.46
Steap4,0.5671,0.007346414617409271,0.0532,0.69
Fgfr3,0.5668,0.007383161956346856,0.0534,0.63
Slc40a1,0.5664,0.007429218039284064,0.0534,0.98
Slc22a4,0.5662,0.007452803836674509,0.0534,1.57
Ints6,0.5662,0.007452803836674509,0.0534,32.67
Safb,0.5662,0.007452803836674509,0.0534,45.9
Hpgd,0.5662,0.007452803836674509,0.0534,0.99
Grb14,0.5662,0.007452803836674509,0.0534,21.95
Nt5c3,0.5662,0.007452803836674509,0.0534,50.98
Eml2,0.5662,0.007452803836674509,0.0534,188.69
Ylpm1,0.5662,0.007452803836674509,0.0534,50.4
Elp3,0.5662,0.007452803836674509,0.0534,40.19
Wdr6,0.5662,0.007452803836674509,0.0534,103.58
Phox2a,0.5662,0.007452803836674509,0.0534,40.42
Gm37060,0.5662,0.007452803836674509,0.0534,8.33
Gm44562,0.5662,0.007452803836674509,0.0534,2.07
Btbd8,0.5662,0.007452803836674509,0.0534,36.99
Ddit4l,0.5658,0.007512787544478537,0.0538,1.72
Gm43426,0.5657,0.007525457058287014,0.0539,1.02
Cd59a,0.5649,0.007621096436507023,0.0541,55.64
Cbarp,0.5649,0.007621096436507023,0.0541,209.41
Rgp1,0.5649,0.007621096436507023,0.0541,19.36
Rbm26,0.5649,0.007621096436507023,0.0541,36.42
Zswim1,0.5649,0.007621096436507023,0.0541,16.23
Tox,0.5649,0.007621096436507023,0.0541,10.21
Nefh,0.5649,0.007621096436507023,0.0541,338.97
Shb,0.5649,0.007621096436507023,0.0541,4.71
Insyn1,0.5649,0.007621096436507023,0.0541,29.52
Trim6,0.5649,0.007621096436507023,0.0541,1.9
Strip2,0.5649,0.007621096436507023,0.0541,7.68
Kcnq1ot1,0.5649,0.007621096436507023,0.0541,73.12
Ctr9,0.5636,0.007792500417952208,0.0548,35.38
Nrarp,0.5636,0.007792500417952208,0.0548,10.62
Fbf1,0.5636,0.007792500417952208,0.0548,13.08
Hap1,0.5636,0.007792500417952208,0.0548,27.33
Rab11fip3,0.5636,0.007792500417952208,0.0548,25.54
Slc25a35,0.5636,0.007792500417952208,0.0548,4.7
Gabrb1,0.5636,0.007792500417952208,0.0548,19.06
Tmpo,0.5636,0.007792500417952208,0.0548,19.28
Rnf121,0.5636,0.007792500417952208,0.0548,18.74
Bdp1,0.5636,0.007792500417952208,0.0548,29.19
Fbxo22,0.5636,0.007792500417952208,0.0548,45.6
Stat1,0.5636,0.007792500417952208,0.0548,29.06
Hjurp,0.5636,0.007792500417952208,0.0548,31.81
Dusp8,0.5636,0.007792500417952208,0.0548,65.94
Apeh,0.5636,0.007792500417952208,0.0548,18.96
Brsk2,0.5636,0.007792500417952208,0.0548,50.31
Lmtk2,0.5623,0.007967059099044032,0.0555,12.14
Smg1,0.5623,0.007967059099044032,0.0555,48.82
Mirg,0.5623,0.007967059099044032,0.0555,42.44
Phf11d,0.5623,0.007967059099044032,0.0555,0.49
Kiz,0.5623,0.007967059099044032,0.0555,9.25
Gart,0.5623,0.007967059099044032,0.0555,13.01
Cpne9,0.5623,0.007967059099044032,0.0555,5.93
Tbc1d17,0.5623,0.007967059099044032,0.0555,26.47
Traf2,0.5623,0.007967059099044032,0.0555,4.1
Thoc1,0.5623,0.007967059099044032,0.0555,26.55
St6gal1,0.5623,0.007967059099044032,0.0555,28.33
Mapk12,0.5623,0.007967059099044032,0.0555,37.94
Ubac2,0.5623,0.007967059099044032,0.0555,26.05
Pbxip1,0.5623,0.007967059099044032,0.0555,5.95
Fras1,0.5623,0.007967059099044032,0.0555,3.49
Vps37a,0.5623,0.007967059099044032,0.0555,38.53
Inpp5j,0.5623,0.007967059099044032,0.0555,18.36
Fkbp9,0.561,0.00814481615489852,0.0561,16.73
A330076H08Rik,0.561,0.00814481615489852,0.0561,39.0
Kdm4b,0.561,0.00814481615489852,0.0561,15.61
Rnf220,0.561,0.00814481615489852,0.0561,142.72
Rasgrp2,0.561,0.00814481615489852,0.0561,10.86
Ring1,0.561,0.00814481615489852,0.0561,23.53
Vps11,0.561,0.00814481615489852,0.0561,29.45
Ilvbl,0.561,0.00814481615489852,0.0561,19.31
Mid1,0.561,0.00814481615489852,0.0561,10.02
Gm43527,0.561,0.00814481615489852,0.0561,5.82
Mlst8,0.561,0.00814481615489852,0.0561,27.9
Nktr,0.561,0.00814481615489852,0.0561,103.82
Ngef,0.561,0.008156198345937919,0.0562,1.18
Kdm7a,0.561,0.00814481615489852,0.0561,45.89
Eea1,0.561,0.00814481615489852,0.0561,109.32
Hcn1,0.561,0.00814481615489852,0.0561,84.96
Hdac4,0.561,0.00814481615489852,0.0561,37.45
Prxl2c,0.561,0.00814481615489852,0.0561,73.9
Lmna,0.561,0.00814481615489852,0.0561,85.84
Jade1,0.561,0.00814481615489852,0.0561,24.7
Gm38148,0.5606,0.008209570215631717,0.0565,2.78
Slc12a2,0.5597,0.008325815617061407,0.0568,88.91
Extl2,0.5597,0.008325815617061407,0.0568,67.97
Rpn1,0.5597,0.008325815617061407,0.0568,85.69
9430021M05Rik,0.5597,0.008325815617061407,0.0568,4.46
Amotl1,0.5597,0.008325815617061407,0.0568,83.43
Tgfb2,0.5597,0.008325815617061407,0.0568,18.59
Gm44799,0.5597,0.008325815617061407,0.0568,8.65
Ss18l1,0.5597,0.008325815617061407,0.0568,15.14
Smg7,0.5597,0.008325815617061407,0.0568,40.24
Tecr,0.5597,0.008325815617061407,0.0568,484.41
Atg13,0.5597,0.008325815617061407,0.0568,63.82
Cherp,0.5597,0.008325815617061407,0.0568,23.96
Cercam,0.5597,0.008325815617061407,0.0568,3.07
Mroh1,0.5597,0.008325815617061407,0.0568,32.29
Nfkb1,0.5597,0.008325815617061407,0.0568,18.72
Pou4f3,0.5593,0.008391806959433508,0.0572,6.52
Iffo2,0.5584,0.008510101872800206,0.0573,4.48
Nefl,0.5584,0.008510101872800206,0.0573,1462.14
Dusp14,0.5584,0.008510101872800206,0.0573,6.74
Poldip2,0.5584,0.008510101872800206,0.0573,48.21
Acrbp,0.5584,0.008510101872800206,0.0573,3.86
Chn1,0.5584,0.008510101872800206,0.0573,99.8
Scn4b,0.5584,0.008510101872800206,0.0573,11.43
Plcl1,0.5584,0.008510101872800206,0.0573,16.03
Mrln,0.5584,0.008510101872800206,0.0573,2.2
Yaf2,0.5584,0.008510101872800206,0.0573,94.12
Bmerb1,0.5584,0.008510101872800206,0.0573,81.32
Sorcs2,0.5584,0.008510101872800206,0.0573,3.74
Cand1,0.5584,0.008510101872800206,0.0573,99.52
Abat,0.5584,0.008510101872800206,0.0573,34.46
Gm37788,0.5584,0.008510101872800206,0.0573,5.81
Lhfpl3,0.5584,0.008510101872800206,0.0573,12.48
Gbf1,0.5584,0.008510101872800206,0.0573,68.13
Gm43588,0.5584,0.008510101872800206,0.0573,0.82
Nup107,0.5584,0.008510101872800206,0.0573,11.46
1600012H06Rik,0.5584,0.008510101872800206,0.0573,19.38
Zpld1,0.5583,0.008530831931200456,0.0575,1.75
6530402F18Rik,0.558,0.008577348716407923,0.0577,1.87
Ptges,0.5573,0.008671372996505831,0.0581,3.86
Cdh10,0.5571,0.008697719664340079,0.0581,13.96
Scg5,0.5571,0.008697719664340079,0.0581,147.52
Gpr26,0.5571,0.008697719664340079,0.0581,8.48
Cdk11b,0.5571,0.008697719664340079,0.0581,37.94
Psd2,0.5571,0.008697719664340079,0.0581,2.12
Ccdc61,0.5571,0.008697719664340079,0.0581,5.14
Trak2,0.5571,0.008697719664340079,0.0581,46.56
Specc1,0.5571,0.008697719664340079,0.0581,3.96
Armcx3,0.5571,0.008697719664340079,0.0581,88.94
Ppp1r3c,0.5571,0.008697719664340079,0.0581,3.54
Cdc42ep5,0.5571,0.008697719664340079,0.0581,3.36
Art4,0.5567,0.008766240400220848,0.0585,0.71
Crebbp,0.5558,0.00888871408804349,0.0589,63.54
Zer1,0.5558,0.00888871408804349,0.0589,68.21
Dcakd,0.5558,0.00888871408804349,0.0589,18.62
Mettl13,0.5558,0.00888871408804349,0.0589,8.52
Ctsf,0.5558,0.00888871408804349,0.0589,22.44
Ppat,0.5558,0.00888871408804349,0.0589,9.93
Fbxo41,0.5558,0.00888871408804349,0.0589,30.1
Osbpl6,0.5558,0.00888871408804349,0.0589,39.66
Tyw1,0.5558,0.00888871408804349,0.0589,7.75
Lrrfip1,0.5558,0.00888871408804349,0.0589,21.31
Iqcn,0.5558,0.00888871408804349,0.0589,2.47
Gm36951,0.5546,0.009078372875137027,0.0598,0.37
Crygs,0.5545,0.009088498704259651,0.0599,0.33
Gm37211,0.5545,0.00908313059353282,0.0598,1.53
Xpo4,0.5545,0.00908313059353282,0.0598,13.21
Tnr,0.5545,0.00908313059353282,0.0598,8.0
Prpf6,0.5545,0.00908313059353282,0.0598,19.09
Gfm2,0.5545,0.00908313059353282,0.0598,13.38
Relt,0.5545,0.00908313059353282,0.0598,4.13
Agap3,0.5545,0.00908313059353282,0.0598,120.19
Pfkm,0.5545,0.00908313059353282,0.0598,73.59
Zfp467,0.5545,0.00908313059353282,0.0598,40.47
Lpp,0.5545,0.00908313059353282,0.0598,14.95
Lrp8,0.5545,0.00908313059353282,0.0598,21.43
Cdh8,0.5536,0.0092234514995314,0.0604,1.5
Insyn2b,0.5534,0.009253423480048742,0.0604,0.97
Nemp2,0.5532,0.009281014982756764,0.0604,1.77
Zfp521,0.5532,0.009281014982756764,0.0604,19.09
Fam234b,0.5532,0.009281014982756764,0.0604,42.32
Fnbp4,0.5532,0.009281014982756764,0.0604,18.65
Zfpm1,0.5532,0.009281014982756764,0.0604,7.65
Tmie,0.5532,0.009281014982756764,0.0604,16.54
Laptm5,0.5532,0.009281014982756764,0.0604,1.32
Zkscan2,0.5532,0.009281014982756764,0.0604,6.75
Phc1,0.5532,0.009281014982756764,0.0604,5.79
Cplx1,0.5532,0.009281014982756764,0.0604,650.37
Tnfrsf12a,0.5532,0.009281014982756764,0.0604,14.47
Arnt2,0.5532,0.009281014982756764,0.0604,52.54
Sv2a,0.5532,0.009281014982756764,0.0604,210.6
Fhip2a,0.5532,0.009281014982756764,0.0604,37.95
Elp2,0.5532,0.009281014982756764,0.0604,32.09
Prrt3,0.5532,0.009281014982756764,0.0604,19.48
Rusf1,0.5532,0.009281014982756764,0.0604,9.35
Scaf11,0.5532,0.009281014982756764,0.0604,62.08
Tmed7,0.5532,0.009281014982756764,0.0604,68.48
Son,0.5532,0.009281014982756764,0.0604,253.66
Adgrb2,0.5532,0.009281014982756764,0.0604,7.11
Rictor,0.5532,0.009281014982756764,0.0604,29.44
Gm42482,0.5532,0.009281014982756764,0.0604,2.42
Efcab14,0.5532,0.009281014982756764,0.0604,60.97
Gm37115,0.5528,0.009353469458210962,0.0608,0.51
Tasor,0.5519,0.00948241340899865,0.0612,28.5
B130024G19Rik,0.5519,0.00948241340899865,0.0612,0.88
Nudt5,0.5519,0.00948241340899865,0.0612,25.43
Lgi3,0.5519,0.00948241340899865,0.0612,29.07
Wwtr1,0.5519,0.00948241340899865,0.0612,6.24
Prpf8,0.5519,0.00948241340899865,0.0612,39.61
Gfpt1,0.5519,0.00948241340899865,0.0612,50.67
Gpr158,0.5519,0.00948241340899865,0.0612,52.38
Rbbp6,0.5519,0.00948241340899865,0.0612,67.52
Ube2o,0.5519,0.00948241340899865,0.0612,125.69
Selenon,0.5519,0.00948241340899865,0.0612,25.0
Nat8f4,0.5506,0.009687372375827947,0.0622,1.49
Gpcpd1,0.5506,0.009687372375827947,0.0622,41.64
Fnip1,0.5506,0.009687372375827947,0.0622,26.01
Cpeb3,0.5506,0.009687372375827947,0.0622,37.13
Gpatch8,0.5506,0.009687372375827947,0.0622,53.94
Prkdc,0.5506,0.009687372375827947,0.0622,10.63
Plpp1,0.5506,0.009687372375827947,0.0622,48.74
Pgghg,0.5506,0.009687372375827947,0.0622,3.65
Ptbp1,0.5506,0.009687372375827947,0.0622,16.02
Tial1,0.5506,0.009687372375827947,0.0622,65.37
Dennd5a,0.5506,0.009687372375827947,0.0622,116.3
Hecw2,0.5506,0.009687372375827947,0.0622,10.25
Pou6f2,0.5504,0.009733698433982831,0.0624,2.77
Pamr1,0.5503,0.009736955248301706,0.0624,1.4
Kctd12b,0.5502,0.009762544448346351,0.0625,0.75
Wnk4,0.5495,0.009867065246658344,0.0629,0.82
Nav2,0.5494,0.009895938735993823,0.0629,35.22
Smad3,0.5494,0.009895938735993823,0.0629,1.27
Rnf24,0.5494,0.009895938735993823,0.0629,22.11
E130317F20Rik,0.5494,0.009895938735993823,0.0629,2.59
Fbxl5,0.5494,0.009895938735993823,0.0629,52.08
Col16a1,0.5494,0.009895938735993823,0.0629,7.9
Gm15912,0.5494,0.009895938735993823,0.0629,3.73
Adamts17,0.5494,0.009895938735993823,0.0629,1.14
Flii,0.5494,0.009895938735993823,0.0629,45.49
Ogdhl,0.5494,0.009895938735993823,0.0629,15.33
Stk38,0.5494,0.009895938735993823,0.0629,23.02
Plaat1,0.5494,0.009895938735993823,0.0629,14.02
Tsc2,0.5494,0.009895938735993823,0.0629,29.69
Gm20683,0.5492,0.00992222175852613,0.063,0.56
Insyn2a,0.549,0.009947777313495986,0.0631,1.39
Smtnl1,0.5481,0.010108159690260715,0.0637,7.08
Lmbrd1,0.5481,0.010108159690260715,0.0637,99.36
Marchf7,0.5481,0.010108159690260715,0.0637,44.94
Hspb6,0.5481,0.010108159690260715,0.0637,7.04
Cnksr2,0.5481,0.010108159690260715,0.0637,46.95
Slc22a21,0.5481,0.010108159690260715,0.0637,1.1
Entpd2,0.5481,0.010108159690260715,0.0637,5.6
Chd8,0.5481,0.010108159690260715,0.0637,33.02
Fancm,0.5481,0.010108159690260715,0.0637,5.08
Zfp397,0.5481,0.010108159690260715,0.0637,19.65
Tagap1,0.5481,0.010108159690260715,0.0637,23.82
Kdm2a,0.5481,0.010108159690260715,0.0637,51.87
Osbpl2,0.5481,0.010108159690260715,0.0637,34.36
Zfp385b,0.5481,0.010108159690260715,0.0637,7.83
Ccdc187,0.5477,0.010158426326694713,0.064,0.4
Drd5,0.5475,0.01020533425498853,0.0642,3.54
Eed,0.5468,0.010324082786185745,0.0643,9.23
Actn2,0.5468,0.010324082786185745,0.0643,4.68
Avpr1a,0.5468,0.010324082786185745,0.0643,22.62
Dido1,0.5468,0.010324082786185745,0.0643,25.13
Gm42447,0.5468,0.010324082786185745,0.0643,6.11
Clstn3,0.5468,0.010324082786185745,0.0643,70.86
Phc3,0.5468,0.010324082786185745,0.0643,33.07
C2cd4b,0.5468,0.010324082786185745,0.0643,5.26
Smc5,0.5468,0.010324082786185745,0.0643,18.92
Gm37436,0.5468,0.010324082786185745,0.0643,8.36
Tent5a,0.5468,0.010324082786185745,0.0643,5.1
Arl3,0.5468,0.010324082786185745,0.0643,100.92
Lrrc55,0.5468,0.010324082786185745,0.0643,27.3
Slc30a5,0.5468,0.010324082786185745,0.0643,20.83
Mlc1,0.5468,0.010324082786185745,0.0643,2.92
