gene,nav11_mean,nav18_mean,ratio,kruskal_p,is_target
Mrpl13,72.712,72.353,1.005,0.4704479999364616,False
Mrpl28,93.869,84.502,1.111,0.38228287503993563,False
Mrpl41,112.915,93.998,1.201,0.11936102290912955,False
Mrps10,89.373,73.063,1.223,0.03668277440246512,False
Msrb2,38.383,87.145,0.44,0.0034446936330652608,False
Mtf2,18.278,13.821,1.323,0.03668277440246512,False
Mtfr1l,84.311,98.575,0.855,0.08737528034076734,False
Mtus1,94.378,71.506,1.32,0.08737528034076734,False
Mtus2,20.131,16.521,1.219,0.18366985885429593,False
Mtx1,19.64,17.416,1.128,0.1598685556691316,False
Myo9b,19.998,20.447,0.978,0.13847671503211265,False
Nabp1,6.775,20.654,0.328,0.006995319905603779,False
Nacad,109.462,127.518,0.858,0.03668277440246512,False
Ncl,105.895,84.133,1.259,0.005553517553973438,False
Ncs1,146.069,106.583,1.37,0.020492927306024925,False
Ndufaf3,69.363,65.749,1.055,0.732439899903881,False
Ndufaf7,18.422,18.459,0.998,0.9696981596092581,False
Ndufv1,99.966,83.681,1.195,0.03036847223425402,False
Neat1,27.212,20.305,1.34,0.07419931719571338,False
Nectin1,15.35,13.941,1.101,0.8493606187801671,False
Neto2,35.261,96.415,0.366,0.0020914050461957145,False
Ngdn,17.463,15.749,1.109,0.10237755581065143,False
Nme7,6.338,5.559,1.14,0.20999967175560622,False
