dataset,tissue,assay,prep,gene,unit,mean_level,pct_detected,n_cells,in_matrix
NodoMap:Buchanan,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Pnoc,CPM,0.7282,0.37,4599,True
NodoMap:Buchanan,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Penk,CPM,1.5585,0.67,4599,True
NodoMap:Buchanan,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Pdyn,CPM,1.9159,0.85,4599,True
NodoMap:Buchanan,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Pomc,CPM,12.551,8.37,4599,True
NodoMap:Kupari,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Oprl1,CPM,11.0939,21.02,1993,True
NodoMap:Kupari,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Oprm1,CPM,4.8056,11.44,1993,True
NodoMap:Kupari,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Oprd1,CPM,0.1453,0.5,1993,True
NodoMap:Kupari,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Oprk1,CPM,8.3644,10.19,1993,True
NodoMap:Kupari,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Pnoc,CPM,1.0698,0.4,1993,True
NodoMap:Kupari,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Penk,CPM,2.0611,1.51,1993,True
NodoMap:Kupari,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Pdyn,CPM,2.2857,3.26,1993,True
NodoMap:Kupari,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Pomc,CPM,7.1425,21.22,1993,True
NodoMap:Zhao,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Oprl1,CPM,11.9827,7.67,23017,True
NodoMap:Zhao,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Oprm1,CPM,10.1075,7.09,23017,True
NodoMap:Zhao,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Oprd1,CPM,0.2658,0.24,23017,True
NodoMap:Zhao,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Oprk1,CPM,3.7765,2.66,23017,True
NodoMap:Zhao,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Pnoc,CPM,1.2297,0.47,23017,True
NodoMap:Zhao,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Penk,CPM,2.3182,0.83,23017,True
NodoMap:Zhao,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Pdyn,CPM,1.7055,0.78,23017,True
NodoMap:Zhao,nodose+jugular,10x droplet sc/snRNA-seq,whole cell,Pomc,CPM,12.0576,9.53,23017,True
NodoMap:inhouse,nodose+jugular,10x droplet sc/snRNA-seq,nuclear,Oprl1,CPM,5.2177,8.5,765,True
NodoMap:inhouse,nodose+jugular,10x droplet sc/snRNA-seq,nuclear,Oprm1,CPM,244.4949,71.9,765,True
NodoMap:inhouse,nodose+jugular,10x droplet sc/snRNA-seq,nuclear,Oprd1,CPM,5.3758,10.59,765,True
NodoMap:inhouse,nodose+jugular,10x droplet sc/snRNA-seq,nuclear,Oprk1,CPM,4.6269,7.32,765,True
NodoMap:inhouse,nodose+jugular,10x droplet sc/snRNA-seq,nuclear,Pnoc,CPM,1.4388,0.78,765,True
NodoMap:inhouse,nodose+jugular,10x droplet sc/snRNA-seq,nuclear,Penk,CPM,0.9547,1.31,765,True
NodoMap:inhouse,nodose+jugular,10x droplet sc/snRNA-seq,nuclear,Pdyn,CPM,2.6262,1.44,765,True
NodoMap:inhouse,nodose+jugular,10x droplet sc/snRNA-seq,nuclear,Pomc,CPM,3.6389,5.49,765,True
