cell,subtype,Oprl1,Scn1a,Calb2,Calb1,Lypd1,Pou4f1,Pvalb
1,Ia,2.0137052781229046,273.36049150518426,4927.5368155667475,0.0,0.0,0.0,924.7941489779439
10,Ia,2.8820852463174154,114.80306231164373,10813.583844182944,0.0,0.0,0.0,1099.515521470094
100,Ib,53.335531403718456,348.4126272216933,2985.404420130215,113.94408981703488,0.0,7.619361629102636,1097.1880745907797
103,Ia,13.381447069686116,281.0103884634084,12453.666739521212,0.0,0.0,0.0,859.386267364286
106,Ic,8.717428900892036,368.55352186549106,279.92632803975533,26.63658830828122,4115.595044432251,639.2781193987493,1329.4079073860353
107,Ib,0.0,473.3048090240542,3872.2295128450273,484.937492502372,13.08676891310749,232.65366956635535,778.6627503298956
11,Ia,15.08566849424512,456.7940420057422,8179.449457579703,0.0,0.0,0.0,1435.5522139123655
114,Ic,154.8985432144053,446.0373960287534,0.0,0.0,4170.643276047863,782.9417275200849,766.0437046239679
116,Ia,17.78683599004813,177.0474290086329,11499.326289381423,0.0,0.0,0.0,951.4589036522668
119,Ic,64.69191844432383,286.17950362658513,0.0,0.0,4922.616404335456,1135.6721106560747,913.0880522798418
12,Ia,0.0,471.5928101746149,11055.685613526417,0.0,0.0,0.0,1407.1368803589783
120,Ic,132.28812149341078,604.9637555987132,15.264014018470474,0.0,5072.740658805021,255.9266350430216,1073.0601854984745
122,Ib,52.28433306749805,273.9834856199411,2378.258137258597,436.94764063551946,0.0,115.43294313603467,1052.4768344756103
124,Ia,73.3963471555475,208.7208622235882,13674.656929417944,0.0,0.0,0.0,1448.4310383977577
125,Ia,58.09340246075833,363.9216509921543,12206.038306454428,0.0,0.0,0.0,680.3631172808042
13,Ia,0.0,132.2440483042793,12518.94467346661,31.871767037362275,0.0,0.0,762.0682208037964
134,Ic,46.9357918367673,422.1724680636889,16.22780036909508,0.0,3773.338073515431,1775.5710188462183,845.8428869306788
138,Ia,61.796801729895016,177.60089236658902,11428.773214046465,0.0,0.0,0.0,1145.0583849951133
141,Ia,89.53701036616472,260.9760922300615,15223.374018303031,0.0,0.0,0.0,1272.9525349732255
142,Ic,2.2798855953408257,592.2002833897795,1757.7917940077766,18.809056161561813,2310.0940794790918,744.9526182776149,756.9220176531542
146,Ic,1.7535541034568864,536.5875556578072,83.11846450385642,0.0,2936.1509908282105,1102.2841094329988,731.9334827829044
147,Ia,0.0,606.0836587723923,11568.67408540931,0.0,52.248591273482084,0.41798873018785665,700.9671005250356
149,Ib,58.489491118807024,430.7540975766285,3293.5076988004485,296.3252119113041,0.32314635977241446,0.0,659.2185739357255
15,Ic,73.23023446228783,263.62884406423615,0.0,0.0,4329.650433732218,961.7570792713801,935.9521395084787
16,Ib,85.56557228837858,196.96226073928653,2018.0559501976081,71.0355694469558,0.0,29.060005682845553,1020.3290884199107
164,Ib,4.175785135939473,374.5358052696481,1970.3281556809789,326.35366908573116,0.0,155.14647851221272,844.793454424678
173,Ib,10.51393299231551,270.0169154844665,1510.8999616002493,411.47710483562065,6.690684631473506,78.61554441981369,753.65783313098
174,Ib,0.0,466.88478456091383,4165.975515122396,369.64691212556266,0.0,0.0,632.2844989484963
179,Ib,85.48562494173194,272.87259265820956,2384.3055826139584,65.04341028175256,28.49520831391065,490.92288236465623,686.3628437350651
188,Ic,140.47027232289742,623.6646945456442,148.6303711300367,0.0,5749.081041729871,1046.2412399153566,597.4358055226966
191,Ic,16.57193369510839,715.1276799253834,292.8358165888566,0.0,6829.781285568731,939.3361946239087,559.1565392655397
193,Ib,0.0,269.76142852175275,4356.571476951381,240.17190433642034,0.0,318.141380474413,343.8432299492637
194,Ib,51.66317385577163,252.2937815287989,2294.732384759427,299.51962756873735,0.0,84.30922850082979,620.9089422297952
201,Ic,21.192413116104436,339.4784667089182,38.78611457098359,0.0,4593.955363979696,1218.7636826016285,504.61934627403383
202,Ia,1.3211491090720888,247.49526643283795,7722.997308599073,0.0,7.266320099896488,0.0,546.2951566013087
203,Ib,13.058461425957871,478.6858859858271,1987.1247301329036,45.51806554191029,0.0,0.0,426.0789413841111
213,Ia,24.234105113373317,322.81657000078417,7362.138234536297,29.721072308854065,0.0,0.0,508.0017128482595
214,Ia,0.0,212.3575143644953,13368.586398225178,0.0,0.0,0.0,1250.5906998449827
216,Ia,66.41891610730737,342.8976572527856,9140.603243803835,36.41036967328295,0.0,0.0,717.4043167494103
225,Ia,65.36998799401911,211.76193293837176,10045.495056433021,0.0,0.0,0.0,673.9553691777745
227,Ia,55.3278369153562,374.8266134688216,1756.4640057353927,0.0,0.0,12.078612284338327,746.1465330486417
23,Ia,15.507441134861125,265.39877827948044,16354.590490571256,29.6856730295913,0.4430697467103179,0.0,1064.696601344894
25,Ic,20.50285960936657,485.05449444264593,208.26588971619728,0.0,5127.333549152909,768.3176864141577,1109.312614654149
28,Ib,1.9999550010124774,262.4940938828876,886.4800541987805,93.99788504758644,0.0,312.4929689081996,1014.477174263579
3,Ic,99.85578754098121,251.77053748899837,0.9133151299479989,0.0,3986.011665469716,1021.9996304118106,1240.586384846032
357,Ia,114.05939485543146,174.70447187467929,9902.874576650713,1.6327520735951335,0.0,0.4665005924557524,730.5399277857083
358,Ic,31.333328730697474,402.28807650005655,14.604517628714925,0.0,3765.8412547351827,1136.762544882338,767.6665539020881
36,Ic,139.4574155688357,198.0929198420962,262.53914976405815,78.70892015059287,2782.2810901555213,414.674512202788,1057.0238202774253
360,Ia,26.75038175968545,211.2826762714139,12395.40147335662,0.0,0.0,0.0,1109.4607485754289
362,Ia,51.07366912465148,214.7415633650119,10931.312879618588,0.38692173579281425,0.0,0.0,940.2198179765387
364,Ib,0.6048560261201027,428.23806649303265,1164.9527063073176,307.26686126901217,0.0,29.637945279885027,890.3480704487911
365,Ic,23.957735250502903,148.29011991259557,56.58982291929135,89.63497498895053,3834.0637688822067,893.0452346825393,1129.3180719806026
371,Ic,0.0,117.42633031325664,2.9210529928670805,0.0,3794.447837734338,1069.689605987925,1015.3580203205972
373,Ib,44.226103815785436,354.5221547813768,3390.430184458519,1427.3618344417205,0.0,142.66485101866272,1067.4897477471438
376,Ia,3.3627303218065663,199.07363505094872,6346.144663313352,0.0,0.0,0.0,968.8026057124717
378,Ib,159.0354238241384,182.20614782500627,846.2580333953325,577.1616705670718,0.0,142.44729186897166,710.393333572062
380,Ic,0.753085343584833,289.5613146083683,21.274660956271536,8.095667443536955,21.65120362806395,1109.8595251081479,1170.671166602623
382,Ia,36.48799473428154,248.26145436854307,9931.889076496009,0.0,0.0,0.0,1183.3557507941505
384,Ib,71.99419418248343,222.08923294685735,579.4889826384715,5.142442441605959,0.0,32.783070565237985,946.8522145606972
387,Ic,22.67355798870425,189.59413251506982,368.8232099495891,205.57359243091852,1421.9559938630237,1104.3102433736526,857.708307915555
393,Ic,0.7791948735210882,224.92758682308744,0.2597316245070294,0.0,40.77786504760361,1253.2050882464168,1071.3929510914961
395,Ia,0.0,142.0109970081669,16363.356108999757,0.0,0.25268860677609767,0.0,1184.6041885663458
396,Ic,108.62473729525072,265.37858896132025,19.051107771782437,2.0053797654507823,682.8318101359914,794.1303871185098,1764.0657336748718
408,Ic,69.35151660627456,456.7138736091967,0.0,0.0,6437.114344480841,1047.4594347527998,729.8079286390861
410,Ib,0.0,519.1666342911709,2880.8738521182772,200.38727908836054,0.0,200.1828022729643,695.0166955319771
411,Ic,0.4253686457368278,495.97984092914123,164.61766590015236,34.24217598181464,3577.988363615327,1483.0477833614502,702.2836341115027
412,Ic,0.0,274.92433756048916,186.05654321587585,0.0,3679.5260916842713,1125.991566546168,866.0449471336475
415,Ia,0.0,32.27796510615586,112.29094903127462,0.0,0.0,0.0,305.95873966820983
417,Ia,18.973813662300763,256.9714328611604,4132.991584701167,0.0,0.0,117.55514986425473,907.4432621100366
419,Ic,61.6993503326668,553.6846047244534,524.7127358725925,122.86218457548432,4220.772078844258,850.1097443661787,823.0156818287902
422,Ia,0.0,305.16424273635766,7172.378276543177,0.0,0.0,283.5705112743724,1011.2385186537246
424,Ic,0.0,492.85096875906373,1262.1005143167283,8.256061384893274,3864.5546465113475,387.67592589933633,1011.9059584353975
425,Ib,21.87147947954776,237.62064993881546,2068.522974506381,51.898425883672644,0.0,89.3394331283222,833.3404384749722
426,Ic,139.58907684222422,247.40601305991234,0.0,0.0,4501.747728161732,596.8995599298096,1336.5133252878634
427,Ia,39.024605437909095,141.2521044654753,11816.82019879643,0.0,0.0,0.0,1151.6500409122086
428,Ia,36.75370520588129,157.39233758753866,9058.707341920152,0.0,0.0,0.0,725.128983885446
430,Ib,19.53122820175424,317.52196705137607,1574.2169930613916,153.45965015664046,3.906245640350848,319.7541074172908,965.9587433496168
431,Ib,44.86353552015713,248.93791050818893,2002.4456098021353,43.22218665966358,0.0,144.9858160102639,1201.4673658812812
432,Ia,42.480674137955226,165.37119575132573,9707.971915722894,0.0,0.0,0.0,773.7551360841846
435,Ia,0.0,400.36007744131274,7969.385196542269,0.0,0.0,20.55236537173063,871.0092444539442
436,Ib,12.47914774666847,276.95656934541637,2014.7785313572804,113.11743602625292,0.0,67.2263765707624,710.5063152538662
437,Ib,137.33040361805615,306.6601245840088,1688.8528600278748,309.3267343630003,0.0,29.332707568905196,1026.2003299485168
438,Ic,25.85608788771563,541.5413963149329,48.839277121240634,31.60188519609688,6037.875338223965,537.232048333647,913.1029555902538
439,Ia,0.0,273.7030792718152,8031.614949123758,21.873811663116378,0.0,106.56472348697723,842.422182512841
