tissue,dataset,top_gene,runner_up,margin,margin_lo,margin_hi,support,n_cells,n_boot
geniculate,GSE102443,Oprl1,Oprk1,6.91627206739856,4.262696353535943,13.317966532175422,1.0,96,10000
geniculate,GSE135801,Oprl1,Oprd1,4.019310520580632,0.9945018823709764,36.70639944934365,0.9736,454,10000
