,median_log2fc,ci_lo,ci_hi,top30_support,n_datasets,n_positive,n_deposits,neuron_over_glia_log2
Oprl1,8.656,8.436,9.466,1.0,13,13,8,2.057
Tmem255a,0.509,0.147,0.61,0.8322,11,10,6,0.638
Epha10,0.442,0.19,0.598,0.6039,10,10,6,1.745
Islr2,0.405,0.095,0.511,0.3737,11,10,6,1.4
Adra2a,0.401,-0.017,0.509,0.4524,10,7,5,0.236
Mdga1,0.4,0.095,0.653,0.4527,13,12,8,1.275
Slc7a3,0.398,0.031,0.613,0.4767,10,9,5,1.41
Efcab1,0.381,-0.018,0.506,0.2974,11,7,6,1.685
Grm7,0.379,0.095,0.534,0.4205,13,12,8,1.841
Ank1,0.379,0.177,0.476,0.434,10,9,7,0.958
Tnr,0.375,-0.05,0.443,0.3902,10,7,6,1.445
Slc19a2,0.372,0.326,0.435,0.4524,10,8,6,0.06
Bche,0.362,0.006,0.662,0.4323,11,9,6,-1.074
Sez6l,0.356,0.216,0.797,0.4744,12,10,7,1.586
Caln1,0.35,-0.005,0.723,0.2466,10,7,5,2.839
Galnt16,0.348,0.168,0.447,0.2567,10,10,6,-1.041
Ntng1,0.347,-0.052,0.565,0.2401,13,9,8,0.391
Kirrel3,0.343,-0.095,0.651,0.3392,10,7,6,1.433
Gria1,0.335,0.015,0.528,0.3213,11,9,6,1.675
Vwa7,0.335,0.154,0.522,0.3122,10,8,7,1.421
Lrp1b,0.334,0.09,0.767,0.3529,11,10,6,1.462
Ankrd34b,0.331,0.008,0.599,0.2964,10,8,5,2.298
Brinp2,0.331,0.173,0.973,0.1959,10,9,6,1.666
Trim16,0.328,0.006,0.439,0.1968,11,9,7,0.419
Tmem132e,0.319,0.027,0.575,0.2768,11,9,7,1.231
Tenm1,0.318,0.017,0.791,0.2418,10,8,6,1.154
Nfatc2,0.317,0.096,1.089,0.3125,10,8,6,-2.759
Slc12a7,0.317,-0.205,0.374,0.0929,12,9,8,-0.317
Asah2,0.312,-0.265,0.681,0.1649,10,7,6,-0.787
Tmem63c,0.305,0.187,0.438,0.1806,13,11,8,1.552
Abca3,0.303,0.095,0.367,0.03,13,10,8,0.614
Eif5a2,0.298,-0.0,0.508,0.1103,13,9,8,1.103
Pcdh7,0.297,0.197,0.505,0.1159,13,12,8,-0.149
Abcg1,0.295,0.195,0.378,0.0997,12,11,8,0.236
Taf1c,0.292,0.138,0.327,0.0024,11,10,6,-0.15
Mgat4c,0.291,-0.015,0.38,0.0262,12,9,8,1.88
Lrrtm4,0.291,-0.057,0.452,0.0986,12,9,7,0.366
Galnt10,0.289,0.072,0.457,0.236,10,8,5,-1.903
Tyk2,0.287,0.055,0.46,0.0827,10,8,6,-0.423
Cds1,0.284,0.17,0.504,0.1503,12,12,8,1.617
Dclre1c,0.282,0.006,0.543,0.171,10,8,7,-0.793
Etv1,0.28,-0.151,0.367,0.0525,13,7,8,0.064
Tmc3,0.28,0.117,0.628,0.0598,12,9,7,1.781
Slitrk3,0.279,0.089,0.646,0.2853,11,9,6,1.345
Plxna1,0.277,0.036,0.418,0.1904,12,11,8,-0.379
Tenm2,0.277,0.077,0.504,0.0907,11,9,7,0.701
Gaa,0.276,0.131,0.301,0.0001,13,12,8,0.673
Sez6,0.274,0.123,0.342,0.0194,13,13,8,1.742
Cacna1e,0.273,0.111,0.435,0.1301,10,9,5,1.315
Faim2,0.272,0.173,0.392,0.0243,13,13,8,2.233
Tmem117,0.272,0.103,0.395,0.0785,13,12,8,1.099
Gdpd5,0.271,0.178,0.289,0.0018,13,11,8,0.089
Dkk3,0.268,0.061,0.36,0.0,12,11,7,0.438
Kifc3,0.266,0.07,0.525,0.0553,11,9,6,-0.456
Ldlrad4,0.265,0.13,0.73,0.2618,12,12,7,-0.772
Vps18,0.264,0.021,0.395,0.0215,13,11,8,0.307
Slc36a1,0.264,0.14,0.437,0.0148,13,11,8,1.667
Diaph2,0.264,0.094,0.403,0.0095,11,10,6,-0.681
Epb41l4a,0.263,0.104,0.311,0.0,11,10,6,0.699
Dagla,0.263,-0.106,0.417,0.0087,11,8,6,-0.834
Lmln,0.262,-0.432,0.396,0.0125,12,8,8,0.127
Kcnt1,0.261,0.033,0.4,0.042,13,11,8,1.108
Jmjd4,0.26,0.057,0.92,0.0774,11,11,7,0.764
Sulf2,0.26,0.164,0.542,0.2076,13,11,8,-1.919
Lrrc55,0.259,-0.108,0.497,0.2723,12,9,8,0.982
Fndc3b,0.259,-0.045,0.418,0.0347,12,9,7,-1.637
Eme2,0.258,0.002,0.466,0.1921,10,8,6,0.207
Slc38a10,0.258,0.05,0.266,0.0,13,11,8,-0.004
Lingo2,0.258,0.124,0.424,0.0167,13,13,8,1.639
Paqr9,0.256,-0.046,0.473,0.0366,12,9,8,1.958
Maneal,0.255,-0.007,0.35,0.0115,12,9,8,1.08
Sptbn4,0.254,0.079,0.306,0.003,11,9,7,1.491
Flrt1,0.254,-0.067,0.48,0.1631,12,9,7,0.757
Pcdhb19,0.253,-0.209,0.368,0.1127,10,7,6,0.053
Robo1,0.252,-0.165,0.415,0.081,12,7,8,0.467
Zfp335,0.252,-0.046,0.414,0.0682,12,9,8,-0.08
Shank2,0.252,0.025,0.49,0.0417,11,10,6,0.876
Acvr1b,0.252,0.039,0.333,0.0,12,10,7,1.086
Ulk3,0.25,0.042,0.533,0.2276,13,11,8,0.127
Dync1i1,0.249,0.112,0.337,0.0117,13,11,8,1.972
Sipa1l2,0.247,0.001,0.369,0.0653,12,9,7,-1.058
Cadm3,0.247,0.132,0.293,0.0,13,12,8,1.37
Tmem135,0.247,0.163,0.462,0.0143,13,13,8,0.4
Fam189a2,0.247,0.152,0.399,0.0048,12,12,8,0.827
Usp45,0.246,-0.075,0.283,0.0,13,9,8,-0.019
Cacna2d3,0.246,0.032,0.409,0.0134,11,9,7,1.627
Sgpp2,0.246,0.151,0.32,0.0014,13,12,8,1.926
Slc9a1,0.245,-0.122,0.301,0.0,13,9,8,-0.021
Susd2,0.245,0.149,0.404,0.0295,13,11,8,1.568
Slc45a1,0.244,0.079,0.268,0.0,13,11,8,1.878
Slc29a3,0.244,0.007,0.393,0.0094,11,9,7,-0.317
Fgf14,0.244,0.042,0.505,0.1069,13,11,8,1.865
Atp2b4,0.244,0.057,0.362,0.0206,13,11,8,0.826
Iglon5,0.243,0.026,0.466,0.0081,12,9,7,1.32
Slc15a4,0.243,0.057,0.368,0.0017,13,11,8,-0.029
Pnmal1,0.241,0.113,0.352,0.0018,12,11,7,1.973
Chrna3,0.241,0.026,0.319,0.0,11,10,6,1.737
Kcnh1,0.24,0.068,0.343,0.0035,12,10,7,1.855
Ttc39b,0.24,0.04,0.333,0.0,13,10,8,1.202
Pou6f1,0.238,0.11,0.288,0.0,13,11,8,0.682
Plxna2,0.238,-0.006,0.286,0.0005,13,8,8,-0.179
Spns2,0.237,-0.161,0.358,0.0606,13,9,8,0.536
Parp4,0.237,-0.021,0.267,0.0,13,8,8,0.0
Ppp1r16b,0.237,0.075,0.404,0.0173,12,11,7,0.873
Ablim2,0.237,0.05,0.291,0.0004,13,10,8,1.58
Ercc2,0.237,-0.03,0.334,0.0084,12,9,7,-0.027
Plcxd2,0.237,0.141,0.474,0.064,12,10,8,1.618
A4galt,0.236,0.031,0.366,0.0113,12,9,7,0.636
Ddr1,0.235,0.174,0.399,0.0004,13,12,8,0.042
1700066M21Rik,0.235,0.021,0.492,0.0067,11,9,7,-0.047
Pygl,0.234,-0.437,0.324,0.007,11,8,7,-0.516
Gda,0.234,-0.093,0.417,0.0447,11,7,8,1.179
Abcc4,0.233,-0.109,0.407,0.0155,11,8,7,0.979
Focad,0.233,-0.024,0.547,0.0559,11,8,7,-0.033
Spsb1,0.233,0.035,0.531,0.0432,12,10,8,0.151
Galnt7,0.232,-0.048,0.302,0.0,12,9,7,-0.344
Spry4,0.232,0.166,0.343,0.001,12,10,8,-0.095
Col5a3,0.232,-0.666,0.284,0.0003,10,7,6,-3.095
Donson,0.232,-0.117,0.416,0.0181,13,9,8,-0.262
Zfp275,0.232,0.126,0.317,0.0001,12,12,7,-0.001
Nrcam,0.232,0.171,0.377,0.0126,13,11,8,0.791
Tapbp,0.232,-0.052,0.261,0.0,13,9,8,-0.823
Tab3,0.231,0.094,0.383,0.0045,12,10,8,0.448
Unc5a,0.231,-0.02,0.371,0.0224,12,9,7,1.593
Cntn2,0.23,0.08,0.319,0.0024,12,10,8,1.599
Cntn3,0.23,-0.015,0.377,0.0146,13,9,8,1.352
Cntnap1,0.229,0.189,0.437,0.0245,10,9,6,0.618
Rnf152,0.229,-0.201,0.571,0.0227,12,8,7,0.439
Lrfn3,0.229,0.087,0.352,0.0065,11,10,6,0.932
Gabbr2,0.229,0.179,0.47,0.0347,12,11,8,2.018
Cdh6,0.228,-0.119,0.37,0.0179,11,7,6,0.122
Abca2,0.228,-0.028,0.348,0.0046,13,9,8,0.594
Mapk4,0.228,-0.024,0.351,0.0014,11,7,7,1.125
Eri2,0.227,-0.085,0.366,0.0123,11,7,6,-0.714
Pgm2l1,0.227,0.172,0.341,0.0018,13,12,8,2.044
Porcn,0.226,0.019,0.279,0.0,13,10,8,0.463
Traf3ip2,0.226,0.057,0.506,0.0334,10,8,6,-0.495
Tmem229b,0.226,0.091,0.36,0.0019,13,13,8,1.944
Wscd2,0.225,-0.092,0.347,0.0002,12,8,7,1.816
Ccdc126,0.225,-0.133,0.455,0.0547,12,8,7,-0.395
Snph,0.225,0.11,0.266,0.0,13,11,8,1.84
Smcr8,0.225,0.099,0.303,0.0001,11,9,7,0.126
Med12l,0.225,0.154,0.545,0.0282,12,11,8,0.551
BC034090,0.224,-0.06,0.47,0.0182,11,8,6,0.173
Scn1a,0.224,-0.001,0.408,0.1022,11,8,7,1.583
Gpr158,0.224,-0.018,0.366,0.0,12,8,8,1.994
Celsr2,0.224,0.073,0.347,0.001,12,10,7,-0.165
Fads6,0.223,-0.038,0.462,0.0405,10,7,6,-1.62
Man1b1,0.223,0.062,0.307,0.0,13,11,8,-0.279
Amigo1,0.223,0.151,0.366,0.0054,13,10,8,0.719
Tmtc2,0.222,0.067,0.369,0.0173,12,10,7,-1.421
Vgf,0.221,-0.089,0.32,0.0002,13,8,8,1.757
Otud7a,0.221,0.096,0.403,0.0224,11,9,8,1.799
Pik3c2b,0.22,-0.291,0.505,0.0591,11,7,7,-0.332
Zmat4,0.22,0.128,0.422,0.0165,11,10,7,1.893
Clstn1,0.22,0.119,0.238,0.0,13,11,8,0.534
Slc2a13,0.22,0.118,0.474,0.0509,12,11,7,0.549
Rimbp2,0.219,0.068,0.481,0.0111,11,9,6,1.937
D430041D05Rik,0.219,0.039,0.236,0.001,11,9,7,1.402
Plekhm1,0.219,0.146,0.41,0.0003,10,9,6,0.029
Nr6a1,0.219,-0.25,0.347,0.0002,11,8,7,-0.767
Doc2b,0.218,0.135,0.276,0.0,10,9,5,1.854
Vps8,0.218,0.084,0.247,0.0,13,11,8,0.309
Itga1,0.218,-0.264,0.732,0.0919,10,7,6,-2.33
Syt2,0.218,0.1,0.337,0.0121,13,11,8,2.116
Pramef8,0.218,0.011,0.312,0.0,11,9,6,-0.295
Mbtps2,0.217,0.039,0.332,0.0087,13,11,8,-0.029
Adam19,0.217,0.036,0.333,0.0001,13,11,8,0.456
Caprin2,0.217,0.141,0.3,0.0009,13,10,8,0.154
Fam234b,0.217,0.138,0.402,0.0505,11,10,6,1.197
Chrm2,0.216,-0.014,0.486,0.0316,12,9,7,1.787
Nptxr,0.216,0.137,0.327,0.0001,12,11,7,1.388
Slc35f3,0.215,-0.073,0.536,0.0846,11,8,7,1.76
Tonsl,0.214,0.016,0.322,0.0002,11,9,6,0.018
Itga3,0.214,0.136,0.332,0.0003,13,10,8,1.0
Uhmk1,0.214,0.175,0.278,0.0,13,11,8,0.937
Lrrk2,0.213,0.068,0.516,0.1256,12,10,8,-0.603
Nova1,0.213,-0.088,0.418,0.16,11,8,6,0.404
Rassf5,0.213,0.183,0.331,0.0002,13,11,8,0.826
Cpeb1,0.213,0.066,0.334,0.0012,13,11,8,1.241
Zfyve28,0.212,0.094,0.345,0.0005,12,10,8,0.152
Atp2b3,0.212,-0.058,0.55,0.0401,13,9,8,1.876
March4,0.212,-0.104,0.399,0.0017,11,8,6,2.27
Lrig2,0.211,-0.071,0.259,0.0,13,9,8,0.233
Lemd3,0.211,-0.193,0.236,0.0,13,9,8,0.087
Lmtk2,0.211,0.101,0.396,0.0105,12,11,8,0.697
Slc2a3,0.211,0.082,0.252,0.0,13,12,8,1.617
Fcho1,0.211,-0.053,0.287,0.0,13,9,8,1.395
Rab27a,0.21,-0.175,0.469,0.0519,13,9,8,1.133
Camk2b,0.21,0.114,0.331,0.0006,13,12,8,1.501
Tiam2,0.21,0.007,0.355,0.0309,10,8,7,-0.382
Sv2a,0.21,0.085,0.229,0.0,13,11,8,2.052
Pigs,0.209,-0.019,0.359,0.0014,13,9,8,0.072
Dpy19l1,0.209,-0.225,0.245,0.0,12,8,8,-1.129
Rhobtb2,0.209,0.075,0.359,0.0078,13,10,8,0.821
Zbtb18,0.208,-0.014,0.349,0.0004,12,9,7,0.539
Kctd9,0.207,0.023,0.28,0.0,12,9,8,-0.572
Ksr2,0.207,-0.079,0.33,0.0005,11,8,6,1.645
Mcam,0.207,0.14,0.375,0.0113,13,13,8,0.247
Tmc7,0.207,-0.05,0.252,0.0,12,9,8,0.205
Supv3l1,0.207,-0.019,0.304,0.0,12,9,7,-0.041
Tmem200a,0.206,0.082,0.362,0.0129,12,11,7,1.272
Grik1,0.206,-0.013,0.576,0.1388,10,7,5,1.55
Jakmip3,0.206,0.139,0.256,0.0007,12,12,8,1.465
Prkca,0.206,-0.044,0.33,0.0006,13,8,8,0.832
Smarcal1,0.205,0.038,0.332,0.0,13,11,8,0.037
Cdk8,0.205,0.099,0.358,0.0096,13,11,8,-0.176
Aatk,0.205,0.01,0.341,0.0016,13,11,8,-0.755
Nkain2,0.204,-0.483,0.393,0.0101,12,7,7,-2.37
B3galt1,0.204,0.097,0.302,0.0,13,11,8,1.868
Pcgf2,0.204,-0.167,0.314,0.0003,13,8,8,-0.199
Gpr89,0.204,0.025,0.335,0.0,13,10,8,0.124
Slc5a6,0.204,0.054,0.458,0.0229,13,11,8,0.575
Pqlc3,0.203,-0.373,0.368,0.0125,12,7,8,-0.769
Slc25a32,0.203,0.028,0.275,0.0019,12,9,8,-0.252
Fpgs,0.203,-0.145,0.277,0.0013,13,7,8,-0.337
Cog1,0.203,-0.009,0.28,0.0,13,9,8,0.279
Zdhhc22,0.203,0.039,0.314,0.0063,11,9,7,1.994
Ypel2,0.203,0.097,0.232,0.0,13,10,8,0.324
Kcnn3,0.202,0.013,0.349,0.0036,10,9,5,0.607
Hexim2,0.202,-0.181,0.355,0.0033,11,7,6,0.622
Pcdhb20,0.202,-0.006,0.779,0.2812,12,8,7,0.31
Grik4,0.202,-0.165,0.505,0.2053,12,8,7,0.98
Them6,0.202,0.049,0.34,0.0047,12,10,7,1.265
Tmem132c,0.202,-0.245,0.586,0.0773,12,8,7,1.691
Sppl2b,0.202,0.0,0.43,0.0208,12,9,7,-1.416
Cdc42bpb,0.201,0.085,0.233,0.0,13,12,8,0.258
Rab3b,0.201,0.078,0.323,0.0001,13,12,8,1.59
Cds2,0.201,0.067,0.24,0.0,13,10,8,1.139
Ablim1,0.201,0.146,0.319,0.0,13,13,8,0.604
Nlgn1,0.201,-0.075,0.383,0.0042,12,9,7,0.3
Dgcr2,0.201,0.072,0.251,0.0,13,13,8,0.019
Pigo,0.201,-0.271,0.354,0.0282,11,7,6,-0.016
Stard5,0.2,0.058,0.459,0.0814,13,10,8,-0.884
Caskin1,0.2,0.116,0.275,0.0,13,11,8,1.233
Usp49,0.2,0.057,0.519,0.0226,10,8,6,-0.704
Sppl3,0.2,0.122,0.261,0.0,13,12,8,0.208
Lgals3bp,0.199,-0.079,0.288,0.0,13,8,8,-0.676
B4galt6,0.199,0.093,0.319,0.0,13,11,8,1.098
Abcd4,0.199,0.033,0.213,0.0,13,10,8,-0.634
Tmem150c,0.199,-0.126,0.47,0.0583,13,8,8,1.388
Itga6,0.199,-0.048,0.426,0.0926,13,8,8,-1.196
Kctd16,0.198,-0.139,0.338,0.0088,10,7,6,1.768
Kcnma1,0.198,0.153,0.308,0.0,13,13,8,1.918
Laptm4b,0.198,0.023,0.347,0.0013,13,10,8,-1.34
Acly,0.198,0.102,0.212,0.0,13,13,8,0.961
Myo9b,0.198,-0.22,0.341,0.0,11,8,7,-1.622
Tmem8,0.197,-0.168,0.301,0.0015,11,8,7,1.311
Sgms1,0.197,-0.117,0.387,0.0061,13,8,8,-1.678
Kcnn2,0.197,0.087,0.374,0.0255,13,11,8,0.933
Znrf3,0.197,-0.012,0.241,0.0,10,7,5,-1.298
Med26,0.196,0.021,0.276,0.0024,10,8,6,-0.523
Mrap2,0.196,0.066,0.308,0.0006,13,10,8,1.111
Slc9a5,0.196,0.004,0.335,0.0048,11,9,7,0.231
Polr3a,0.196,0.071,0.619,0.0659,12,10,8,0.12
Rgs11,0.196,0.074,0.291,0.0,13,10,8,1.216
Pan2,0.196,0.158,0.297,0.0025,13,10,8,-0.746
Xpr1,0.196,0.075,0.3,0.0002,13,11,8,0.29
Clec16a,0.196,0.092,0.287,0.0,12,10,8,0.111
Arel1,0.195,0.115,0.239,0.0,11,10,6,0.99
Lgi2,0.195,0.027,0.692,0.1664,11,9,7,0.639
C2cd4c,0.195,-0.047,0.3,0.0009,11,8,6,1.54
Rarb,0.194,0.047,0.852,0.1475,11,9,7,-1.624
Dgke,0.194,-0.022,0.282,0.0,13,9,8,0.926
Aar2,0.194,-0.023,0.276,0.0,12,8,7,0.429
Gtf3c1,0.194,-0.126,0.225,0.0,13,9,8,0.177
Gpr176,0.194,-0.074,0.337,0.0013,12,7,8,1.857
Sertad4,0.194,-0.199,0.262,0.0007,13,7,8,0.214
Epb41l1,0.193,0.053,0.204,0.0,11,10,6,1.703
Pfkfb2,0.193,-0.242,0.351,0.0192,10,6,6,-0.184
Pomgnt2,0.193,-0.015,0.3,0.0008,11,7,6,1.047
Lrrc8c,0.192,0.033,0.385,0.0223,13,11,8,0.712
Unkl,0.192,-0.023,0.35,0.0015,12,8,7,0.35
Manea,0.192,0.062,0.305,0.0012,12,10,7,-0.704
Nefh,0.192,0.059,0.243,0.0,13,10,8,1.859
Slc31a1,0.192,0.027,0.381,0.0006,13,10,8,0.379
Pla2g15,0.192,-0.087,0.253,0.0003,13,9,8,-0.5
Mcf2l,0.191,0.103,0.265,0.0,13,13,8,1.181
Scube1,0.191,-0.053,0.612,0.1743,13,9,8,0.844
Klhl42,0.191,0.135,0.285,0.0,11,10,6,0.596
Tmem64,0.191,-0.075,0.245,0.0,13,9,8,-0.056
Plcl1,0.191,0.101,0.45,0.0791,13,11,8,0.934
Chst1,0.19,0.092,0.591,0.1161,10,8,6,1.239
Npy,0.19,0.05,0.366,0.0255,10,8,5,1.982
Abcd1,0.19,-0.038,0.335,0.0,12,8,7,0.322
Spred3,0.19,0.087,0.303,0.0,11,9,6,0.479
Trim56,0.19,-0.084,0.267,0.0002,12,9,7,-0.795
Map3k3,0.19,0.051,0.594,0.0861,12,10,8,-0.325
Sema4d,0.19,0.13,0.299,0.0,13,11,8,0.568
Wdr81,0.19,0.054,0.419,0.0446,11,9,7,-0.032
Cnnm1,0.189,0.005,0.45,0.0374,12,9,8,1.91
Ttbk2,0.189,0.007,0.256,0.0,13,10,8,1.504
Scml4,0.189,-0.164,0.403,0.0109,11,7,6,1.394
Prrt3,0.189,-0.169,0.427,0.0097,11,7,7,1.682
Traf3,0.189,0.114,0.395,0.0224,13,11,8,0.259
Cd276,0.189,0.025,0.525,0.084,12,9,7,-0.136
Slc18a2,0.189,0.067,0.473,0.0226,12,10,7,1.241
Dock5,0.188,-0.125,0.313,0.0013,10,7,7,-2.105
Cabp1,0.188,-0.001,0.244,0.0,13,9,8,1.614
Dgkd,0.188,0.024,0.224,0.0,13,10,8,0.362
Ptprr,0.188,0.036,0.251,0.0,13,10,8,1.877
Prepl,0.188,0.07,0.564,0.1721,13,11,8,0.718
B3gnt8,0.188,-0.245,0.281,0.0023,12,8,7,-0.628
Hinfp,0.187,0.019,0.351,0.0332,10,8,6,-0.252
Lrrc4b,0.187,0.103,0.287,0.0,12,11,7,0.391
Engase,0.187,-0.008,0.349,0.0017,10,7,6,-0.224
Ppm1f,0.187,0.12,0.245,0.0,13,11,8,0.276
Slc8a1,0.187,0.111,0.303,0.0,11,9,7,1.723
Osbpl5,0.187,-0.103,0.274,0.0,13,9,8,0.383
Men1,0.186,0.039,0.258,0.0,13,11,8,-0.276
Atp8b2,0.186,-0.055,0.401,0.0248,11,8,8,0.187
Kbtbd7,0.186,-0.109,0.263,0.0,12,7,7,0.289
Agap2,0.186,0.046,0.429,0.0366,10,8,6,0.956
Casz1,0.185,-0.096,0.223,0.009,13,9,8,1.939
Cdkl5,0.185,-0.035,0.271,0.0,12,7,7,0.572
Arhgef10,0.185,0.033,0.362,0.001,10,8,6,-2.925
Tmem184b,0.185,0.011,0.293,0.0,13,10,8,-0.181
Zfp629,0.185,-0.325,0.221,0.0006,11,7,6,0.249
Rimkla,0.185,0.072,0.313,0.0004,13,13,8,1.831
Clcn2,0.185,-0.136,0.295,0.001,12,7,7,-0.238
A230057D06Rik,0.185,-0.315,0.319,0.0,11,7,7,1.506
Nr1d2,0.185,0.05,0.236,0.0,13,10,8,-0.619
2510039O18Rik,0.185,0.068,0.292,0.0,13,11,8,0.057
Rnft2,0.185,0.05,0.369,0.0262,13,11,8,1.637
Plod2,0.185,0.042,0.253,0.0,13,10,8,-0.182
Flrt2,0.185,-0.132,0.423,0.0135,11,8,7,-0.318
Sec22c,0.184,-0.265,0.236,0.0,13,7,8,0.439
Perp,0.184,-0.027,0.814,0.2183,11,8,7,-0.305
Znfx1,0.184,0.078,0.207,0.0,13,11,8,-0.3
Camsap3,0.184,0.077,0.258,0.0003,13,10,8,1.589
Dcaf5,0.184,0.011,0.274,0.0,13,10,8,0.757
Slc6a17,0.184,0.156,0.355,0.0259,13,11,8,1.956
Slc36a4,0.184,0.008,0.264,0.0,13,10,8,0.501
Ccdc39,0.183,0.037,0.297,0.0,12,11,7,-0.121
Mmp15,0.183,-0.069,0.283,0.0,13,9,8,-0.47
Prickle2,0.183,0.007,0.422,0.0248,13,10,8,0.355
Nfxl1,0.183,-0.045,0.33,0.008,13,9,8,-0.919
Astn1,0.183,0.028,0.247,0.0,13,10,8,1.969
Syngr1,0.183,0.088,0.262,0.0,13,12,8,0.31
Bbs1,0.183,-0.084,0.326,0.0,11,8,7,0.447
Ficd,0.183,0.02,0.242,0.0008,12,10,7,-0.037
Kif3c,0.183,0.119,0.215,0.0,13,10,8,1.378
Dhcr24,0.183,0.095,0.235,0.0001,13,12,8,0.833
Mfsd9,0.183,-0.156,0.46,0.0987,10,8,6,1.342
Myh14,0.183,-0.01,0.208,0.0,13,9,8,0.102
Lgi3,0.182,-0.098,0.566,0.177,10,6,6,1.077
Creld1,0.182,0.023,0.235,0.0,13,10,8,0.631
Arhgap26,0.182,0.117,0.248,0.0,13,11,8,1.203
Sv2c,0.182,0.113,0.276,0.0026,13,11,8,1.32
Igf2r,0.182,0.097,0.288,0.0001,12,11,7,-0.362
Heatr5a,0.182,0.123,0.427,0.0264,11,10,7,-0.576
Tenm4,0.181,0.051,0.376,0.0224,10,8,6,1.642
Gas6,0.181,-0.013,0.389,0.0176,13,9,8,-0.519
Dnmbp,0.181,-0.039,0.561,0.0828,10,7,6,-1.188
Dzank1,0.181,-0.022,0.263,0.0,12,9,7,1.75
Deptor,0.181,0.015,0.351,0.0038,12,10,8,-1.899
Endod1,0.181,0.072,0.271,0.0005,13,11,8,0.105
Kndc1,0.181,-0.084,0.546,0.1006,12,8,7,1.148
Chpf2,0.181,0.032,0.26,0.005,13,11,8,-0.225
Adcy3,0.181,-0.109,0.436,0.0135,11,7,6,0.36
Stim2,0.18,-0.031,0.322,0.0,13,9,8,-0.98
Tmem178b,0.18,0.085,0.345,0.0011,11,11,6,1.969
Adam22,0.18,0.001,0.251,0.0,13,10,8,0.951
Synj1,0.18,0.085,0.21,0.0,13,10,8,0.932
Slc7a1,0.18,0.032,0.22,0.0,13,11,8,1.189
Mtor,0.179,0.107,0.269,0.0,13,11,8,0.602
Mtcl1,0.179,0.095,0.274,0.0,11,9,6,1.243
Dnajc6,0.179,0.053,0.247,0.0,13,11,8,1.86
Gclc,0.179,0.112,0.332,0.0,13,11,8,0.207
Sirpa,0.179,0.064,0.267,0.0,13,11,8,-1.026
Atp6ap1,0.178,0.024,0.208,0.0,13,11,8,0.479
Gan,0.178,-0.004,0.29,0.0,12,9,7,0.8
Llgl1,0.178,-0.06,0.287,0.0003,13,7,8,-1.523
Trim36,0.178,0.082,0.271,0.0,13,11,8,1.846
Zbtb14,0.178,0.035,0.367,0.0028,11,10,6,-0.29
G6pc3,0.178,0.055,0.206,0.0,13,10,8,0.436
Rph3a,0.178,-0.013,0.433,0.0237,12,8,8,1.779
Parp12,0.178,-0.0,0.313,0.0,13,9,8,-0.805
Polr1a,0.178,0.068,0.231,0.003,13,11,8,-0.082
Ackr1,0.178,0.041,0.396,0.0972,11,9,6,1.825
Prpf8,0.178,0.107,0.237,0.0,13,11,8,-0.183
Apaf1,0.178,-0.191,0.245,0.0,11,7,6,-0.996
Nup155,0.177,-0.11,0.274,0.0,13,9,8,0.012
Lemd2,0.177,0.081,0.205,0.0,13,11,8,-0.302
Rhbdd1,0.177,-0.06,0.311,0.0,10,7,6,-0.454
Vav2,0.177,-0.111,0.266,0.0,11,7,6,0.156
Phtf1,0.177,0.07,0.3,0.0,13,13,8,0.13
Slc7a8,0.177,0.052,0.378,0.0007,13,11,8,1.22
Wdr59,0.176,-0.057,0.419,0.0023,13,9,8,0.733
Lgi1,0.176,-0.043,0.373,0.0078,13,9,8,-0.629
Slco5a1,0.176,-0.191,0.786,0.104,10,7,6,1.386
Atp7a,0.176,0.085,0.391,0.0393,12,10,8,0.569
Map4k2,0.176,0.034,0.195,0.0,12,10,7,-0.319
Ttc17,0.176,-0.029,0.223,0.0,13,9,8,-0.17
Galnt13,0.176,-0.064,0.363,0.0126,13,9,8,1.73
Adcy1,0.175,0.069,0.592,0.0625,13,10,8,1.544
Rps6ka2,0.175,0.013,0.278,0.0004,13,10,8,0.69
Dclk3,0.175,-0.061,0.243,0.0,11,7,6,0.745
Cdan1,0.175,-0.074,0.288,0.002,11,6,7,-0.533
Palld,0.175,-0.18,0.29,0.0001,12,8,8,-1.429
Atxn1,0.175,0.096,0.352,0.0056,13,12,8,0.162
Csf1,0.175,-0.312,0.453,0.0593,12,8,8,-1.5
Chrm1,0.175,0.087,0.274,0.0,10,9,5,1.882
Ryr2,0.175,0.08,0.328,0.0047,12,12,8,1.794
Wdr7,0.175,0.104,0.276,0.0,13,12,8,0.992
Hdac4,0.175,0.043,0.234,0.0,13,10,8,-0.752
Slc35e3,0.174,0.058,0.266,0.0,13,11,8,0.188
Ikzf2,0.174,0.028,0.271,0.0,12,9,7,-0.9
Map2k7,0.174,0.102,0.285,0.0,13,11,8,0.126
Svop,0.174,0.005,0.267,0.0,13,10,8,1.957
Aldh5a1,0.174,-0.082,0.375,0.0007,11,8,7,0.797
Mast1,0.174,0.127,0.313,0.0,13,12,8,1.908
Nceh1,0.174,0.057,0.339,0.0,13,10,8,0.37
Tex2,0.174,0.031,0.218,0.0,13,11,8,0.519
Hmgcll1,0.174,0.068,0.254,0.0,13,10,8,1.696
Ccpg1,0.174,0.038,0.273,0.0,13,11,8,-0.241
Klhl20,0.174,0.039,0.246,0.0,13,11,8,0.31
