,GSE102443 geniculate (VII),GSE135801 geniculate (VII),GSE309608 vestibular (VIII),GSE232789 stellate,GSE232789 coeliac,GSE232789 lumbar chain,GSE231766 superior cervical,GSE231924 stellate,GSE232789 sphenopalatine,GSE330884 intrinsic cardiac,GSE232789 pelvic,"GSE263422 enteric submucosal, P24","GSE263422 enteric submucosal, P7"
Heatr5b,0.094,0.097,0.319,0.096,0.08,0.344,0.524,0.339,-0.164,0.111,-0.154,0.003,
Heatr6,-0.064,-0.03,0.085,0.025,-0.365,-0.155,0.619,-0.006,0.0,-0.011,-0.042,-0.063,-0.412
Hebp2,-0.077,0.117,-0.185,0.007,0.504,-0.172,0.247,-0.133,0.019,-0.136,0.076,-0.115,-0.054
Heca,-0.318,-1.789,-0.151,-0.023,-0.259,-0.179,-0.013,0.203,0.115,0.058,0.073,-0.05,
Hectd1,0.173,0.353,0.109,0.092,-0.133,0.123,0.276,0.188,0.084,0.202,0.257,-0.019,0.043
Hectd3,0.394,0.001,0.049,0.033,-0.396,-0.086,-0.011,-0.419,0.031,0.026,0.145,0.179,-0.407
Hecw1,0.21,-0.015,0.17,0.062,0.151,0.12,0.508,0.108,0.0,0.152,0.172,-0.246,0.012
Helq,-0.034,1.106,0.259,,0.005,0.124,,-0.267,-0.312,0.126,0.064,0.182,
Helz,-0.074,0.197,0.067,0.097,-0.246,-0.118,0.744,0.259,-0.022,0.105,0.098,0.119,0.073
Hemk1,-0.189,0.647,0.375,-0.057,0.292,0.819,0.475,-0.561,0.103,0.037,-0.005,0.123,0.343
Herc1,0.083,-0.248,0.219,0.155,0.198,0.134,0.481,0.064,0.023,0.329,0.088,-0.024,-0.225
Herc2,0.074,-0.001,0.21,-0.026,0.548,0.074,0.517,0.146,0.071,0.271,0.128,-0.051,-0.278
Herc3,0.105,-0.377,0.207,0.262,0.146,-0.114,0.489,0.159,-0.006,0.129,0.083,0.252,0.217
Herc4,0.438,-0.827,0.15,0.22,-0.36,-0.033,-0.175,0.247,-0.016,0.177,0.145,-0.041,-0.427
Herc6,-0.458,0.736,,,0.078,0.922,-0.138,0.268,0.493,0.033,0.201,-0.195,
Herpud1,-0.303,-0.557,0.121,0.086,-0.035,-0.089,-0.443,-0.191,-0.076,0.06,-0.103,0.167,0.133
Herpud2,0.202,-0.585,0.096,-0.169,0.025,-0.157,0.219,-0.008,0.028,0.094,0.046,-0.001,0.154
Hes1,-0.121,0.452,-0.21,-0.611,1.886,-0.245,-0.248,-0.784,-0.052,-0.019,-0.103,-0.725,-0.548
Hes6,0.097,-1.694,-0.208,-0.02,0.009,-0.232,-0.191,-0.082,-0.075,-0.04,0.099,-0.264,-0.076
Hexa,-0.107,-0.042,0.173,-0.016,-0.027,0.357,-0.152,-0.155,0.05,0.095,-0.101,-0.251,-0.031
Hexb,0.016,-0.441,0.375,0.13,0.153,0.081,0.021,0.304,-0.056,0.303,-0.096,0.069,0.076
Hexdc,0.379,1.856,0.141,0.064,-0.472,-0.01,0.192,-0.225,0.053,0.12,0.002,-0.159,0.093
Hexim1,-0.262,-0.316,0.063,-0.044,-0.288,-0.158,-0.169,-0.951,-0.091,0.082,0.255,0.088,0.169
Hexim2,0.202,0.775,-0.056,-0.181,1.061,0.355,,,-0.199,0.225,0.065,0.237,-0.344
Hey1,0.373,0.631,-0.008,-0.055,0.969,0.613,-0.844,0.081,0.02,0.184,0.247,-0.342,-1.219
Hgs,-0.12,0.494,-0.009,-0.016,0.267,0.25,-0.008,,-0.053,0.127,0.093,0.051,-0.047
Hgsnat,0.401,0.14,0.308,0.041,0.035,0.182,0.306,0.162,-0.084,0.166,0.222,-0.045,0.095
Hibadh,-0.142,-0.082,-0.017,-0.159,-0.203,0.016,0.419,-0.052,-0.117,0.038,-0.066,0.112,0.063
Hibch,0.032,-0.652,0.026,0.008,-0.054,-0.141,0.808,0.065,-0.005,0.111,0.032,-0.136,-0.029
Hif1a,0.009,-0.086,-0.036,-0.063,-0.585,-0.137,-0.191,-0.023,-0.094,0.099,-0.062,0.042,0.065
Hif1an,0.0,0.281,0.274,-0.241,-0.085,-0.182,0.268,-0.687,-0.027,0.274,0.114,0.16,-1.039
Higd1a,-0.07,-0.265,-0.12,0.034,0.37,0.07,-0.06,0.12,-0.062,-0.147,-0.021,0.257,0.46
Higd2a,0.039,0.066,-0.141,-0.039,0.188,-0.037,0.024,0.055,-0.048,-0.116,0.009,-0.097,-0.004
Hinfp,0.236,,0.137,0.497,0.039,0.092,0.808,-0.202,0.239,0.351,-0.265,,
Hint1,0.013,0.165,-0.197,-0.022,0.227,0.027,-0.072,0.028,-0.015,-0.114,-0.055,-0.411,0.098
Hint2,0.03,0.553,-0.189,-0.013,0.276,-0.007,-0.156,0.044,-0.139,-0.106,-0.066,-0.266,0.149
Hint3,0.293,0.447,-0.092,-0.133,0.103,-0.157,0.586,-0.133,0.018,-0.154,-0.004,-0.279,-0.469
Hip1,0.048,0.437,-0.004,0.096,0.343,-0.088,-0.483,-0.019,0.045,0.217,0.162,0.417,-0.359
Hip1r,-0.027,0.464,0.164,0.099,-0.035,0.054,0.051,-0.006,0.13,0.157,0.101,0.109,-0.038
Hipk1,0.165,0.022,0.132,-0.061,0.045,-0.132,0.061,-0.086,0.01,0.183,-0.012,0.289,0.161
Hipk3,0.027,-0.562,0.082,0.072,0.112,0.401,-0.053,0.171,0.032,0.092,0.059,0.194,0.018
Hira,0.21,-0.622,0.061,0.113,-0.006,0.214,0.087,-0.24,0.045,0.095,0.02,0.123,-0.243
Hist1h1c,-0.413,-0.4,-0.03,-0.389,-0.701,-0.428,,-0.458,0.043,-0.051,-0.232,-0.025,-1.123
Hist1h2bc,0.052,-0.582,-0.125,-0.434,-0.54,-0.421,,-0.118,-0.084,-0.121,-0.356,-0.356,-0.251
Hist3h2a,0.085,0.504,-0.071,-0.036,-0.126,0.129,,-0.387,-0.05,-0.063,-0.015,-0.247,0.053
Hist3h2ba,0.432,-0.15,-0.251,-0.054,0.362,0.018,,0.298,-0.042,-0.114,-0.156,-0.408,0.053
Hivep1,0.017,-0.146,0.215,0.015,0.09,-0.252,0.184,0.108,0.147,0.074,0.19,0.123,-0.495
Hivep2,-0.115,0.462,0.07,-0.235,-0.845,-0.242,-0.022,-0.167,-0.043,0.055,-0.102,0.116,-0.169
Hivep3,0.545,-0.698,0.008,0.056,0.002,0.27,0.425,0.151,0.096,0.03,0.095,0.343,-0.111
Hjurp,-0.198,-0.866,0.129,0.003,-0.892,-0.158,-0.651,0.11,0.008,0.202,-0.024,0.028,0.0
Hk1,0.115,0.152,0.092,0.086,0.365,0.075,0.204,0.181,0.085,0.207,0.11,0.247,0.204
Hlcs,-0.056,-0.603,0.187,-0.212,-0.63,0.576,0.247,-0.074,-0.072,0.187,0.006,0.171,
Hltf,-0.564,-0.076,-0.016,0.45,-0.319,-0.065,0.079,-0.48,0.013,0.008,-0.214,-0.122,0.127
Hmbox1,-0.015,-0.89,0.177,0.02,0.052,0.064,0.663,-0.119,0.028,0.155,-0.042,0.236,-0.368
Hmbs,0.205,-0.168,-0.162,-0.134,0.393,0.011,-0.252,-0.158,-0.052,-0.078,-0.058,-0.229,0.208
Hmg20a,0.194,-0.129,0.061,-0.04,-0.053,0.187,0.089,-0.053,0.032,0.095,0.039,0.108,-0.039
Hmg20b,0.114,-0.812,-0.115,0.084,0.179,-0.061,0.084,-0.45,0.059,-0.086,-0.086,-0.279,-0.265
Hmga1,0.073,,-0.077,0.437,-0.639,-0.019,-0.633,,0.026,0.067,-0.17,-0.051,-0.129
Hmgb1,-0.017,-0.101,-0.235,-0.07,-0.612,-0.107,0.131,-0.138,-0.048,-0.129,-0.162,-0.142,-0.112
Hmgb3,0.061,0.063,-0.1,-0.014,-0.552,-0.095,0.148,0.155,-0.061,-0.058,-0.127,0.104,0.135
Hmgcl,-0.058,0.001,-0.029,-0.047,-0.449,-0.152,0.138,-0.183,-0.135,0.046,-0.165,-0.066,-0.129
Hmgcll1,0.068,-0.714,0.171,0.074,0.174,0.245,0.327,0.384,0.254,-0.004,-0.056,0.221,0.397
Hmgcr,0.193,0.303,0.011,0.144,-0.126,0.069,0.477,-0.127,0.084,0.154,0.116,0.036,0.113
Hmgcs2,0.796,-0.959,-0.263,-0.804,0.631,1.699,-0.521,-0.278,-0.115,-0.222,0.22,,
Hmgn1,-0.143,-0.093,-0.171,-0.084,-0.976,-0.439,-0.029,-0.353,-0.001,-0.114,-0.056,-0.102,-0.131
Hmgn2,0.039,0.26,-0.249,-0.096,-1.321,-0.623,-0.005,-0.274,-0.04,-0.141,-0.123,-0.157,-0.044
Hmgn3,0.079,-0.36,-0.056,0.051,0.251,-0.067,0.152,0.045,-0.027,-0.08,0.018,-0.237,-0.074
Hmgxb3,-0.423,-0.421,0.135,0.101,0.11,-0.402,0.375,-0.224,-0.111,0.013,-0.041,0.161,0.175
Hmgxb4,0.098,1.059,0.026,-0.122,0.215,0.302,-0.954,0.027,-0.055,0.052,-0.096,0.099,-0.701
Hmox2,-0.005,-0.482,-0.137,0.062,0.334,0.05,0.191,-0.059,-0.021,-0.125,-0.086,-0.058,0.079
Hnmt,0.121,2.582,0.008,0.135,0.521,1.801,0.84,,-0.341,0.082,0.552,,0.013
Hnrnpa0,0.048,0.056,-0.123,-0.011,-0.533,-0.213,0.405,-0.47,0.052,-0.038,0.133,0.194,-0.11
Hnrnpa1,-0.101,,-0.173,-0.01,-0.712,-0.122,-0.001,0.168,-0.019,-0.066,-0.069,0.042,-0.086
Hnrnpa2b1,-0.109,0.134,-0.107,-0.057,-0.572,-0.104,-0.047,0.077,-0.062,0.107,-0.101,0.017,-0.057
Hnrnpa3,-0.148,0.091,-0.051,-0.051,-0.49,-0.045,0.061,-0.064,0.021,0.02,-0.065,0.094,0.015
Hnrnpab,-0.121,-0.23,-0.205,0.019,-0.553,-0.099,-0.137,0.077,-0.051,-0.038,-0.055,0.168,-0.012
Hnrnpc,-0.065,-0.173,-0.114,-0.07,-0.256,-0.103,0.067,-0.47,0.034,0.023,-0.016,0.216,-0.105
Hnrnpd,0.065,-0.13,-0.106,0.081,-0.487,-0.066,0.237,-0.077,0.045,-0.027,-0.056,-0.015,-0.196
Hnrnpf,-0.107,0.917,-0.146,-0.038,-0.089,-0.082,-0.264,-0.299,-0.068,0.009,-0.138,-0.05,-0.102
Hnrnph1,-0.078,0.188,0.006,0.015,-0.565,-0.085,0.006,0.209,0.001,0.18,0.064,0.142,-0.024
Hnrnph2,-0.179,-0.176,-0.073,0.017,-0.313,-0.012,-0.223,0.059,-0.034,0.119,-0.071,0.095,0.013
Hnrnph3,0.139,,-0.153,-0.084,-0.914,-0.209,-0.011,-0.202,-0.084,-0.11,-0.018,-0.087,-0.072
Hnrnpk,-0.003,-0.614,-0.1,-0.017,-0.247,-0.142,-0.057,-0.447,-0.052,0.038,-0.066,0.031,-0.041
Hnrnpl,-0.086,0.105,-0.046,-0.084,-0.365,-0.147,0.143,-0.062,-0.042,0.104,-0.025,0.002,-0.036
Hnrnpm,0.035,-0.812,0.039,-0.015,-0.622,-0.11,0.008,-0.184,-0.015,0.105,-0.045,-0.126,-0.159
Hnrnpr,-0.109,-0.382,-0.098,0.038,-0.381,0.044,0.22,-0.288,0.013,0.109,-0.059,-0.049,-0.204
Hnrnpu,-0.03,0.343,0.079,-0.012,-0.452,0.007,0.163,-0.119,0.012,0.131,-0.036,0.265,-0.069
Hnrnpul1,0.14,,0.004,0.041,-0.59,0.106,0.174,0.027,0.096,0.052,0.07,0.071,-0.065
Hnrnpul2,-0.02,-0.683,-0.013,0.074,-0.248,-0.034,0.134,-0.375,0.087,0.093,0.085,0.121,-0.103
Homer1,0.182,0.549,0.174,0.0,0.242,-0.185,-0.209,0.022,0.106,0.186,0.233,-0.027,-0.018
Homer2,-0.061,0.168,0.025,-0.367,-0.601,-0.218,,,-0.018,0.037,-0.181,0.45,-0.155
Homer3,-0.061,,-0.166,-0.068,-0.921,-0.211,0.193,,0.064,-0.058,0.186,,0.352
Homez,0.44,2.137,0.087,-0.177,0.173,0.018,,,0.068,0.078,0.105,-0.086,-0.124
Hook1,-0.32,,0.139,0.132,-0.155,-0.242,0.99,0.097,0.182,0.256,0.233,-0.115,-0.167
Hook2,-0.19,0.809,0.268,-0.369,0.282,0.366,-0.806,-0.28,-0.132,0.185,-0.072,0.152,
Hook3,0.151,-0.609,0.087,-0.033,-0.383,-0.234,0.749,0.016,0.014,0.111,-0.028,0.09,-0.136
Hp1bp3,-0.2,-0.36,-0.091,-0.008,-0.474,-0.112,-0.051,0.057,0.002,-0.019,0.047,0.159,-0.004
Hpca,0.072,-0.493,-0.412,-0.123,1.358,-0.172,0.473,0.153,-0.197,-0.254,0.201,-0.807,-0.628
Hpcal1,-0.135,0.047,-0.266,-0.129,0.708,0.009,0.041,0.057,0.011,-0.014,-0.087,-0.105,0.033
Hpcal4,0.119,-0.265,0.185,0.145,0.712,0.106,0.19,-0.163,0.14,0.158,0.246,0.064,-0.307
Hprt,-0.098,-0.05,-0.152,-0.023,0.481,0.082,0.203,-0.122,-0.015,-0.014,-0.027,-0.05,0.053
Hps3,-0.042,-0.667,0.146,0.081,0.544,0.459,-0.106,0.339,0.094,0.099,0.047,-0.122,-0.403
Hps4,-0.522,0.627,0.075,0.132,0.56,0.131,0.228,0.591,-0.02,0.084,-0.226,-0.137,-0.055
Hps5,-0.046,-0.495,0.288,-0.147,-1.491,-0.364,-0.172,0.011,0.357,0.301,-0.312,-0.079,
Hs1bp3,0.089,0.55,0.23,0.238,0.397,0.056,-0.786,-0.504,-0.068,0.115,0.1,0.257,-0.008
Hs2st1,-0.311,-0.456,-0.048,-0.224,-0.082,-0.022,0.204,-0.25,-0.042,0.174,-0.047,0.489,0.06
Hs3st5,0.041,-0.17,0.175,0.173,0.386,-0.07,0.691,0.238,-0.001,0.125,-0.098,-0.599,-0.72
Hs6st1,0.319,0.609,0.186,0.148,-0.105,0.312,0.065,-0.096,-0.026,0.205,0.067,-0.042,0.037
Hsbp1,-0.06,0.368,-0.159,-0.006,-0.039,-0.017,0.027,0.104,-0.049,-0.107,-0.03,-0.174,0.039
Hscb,-0.242,0.408,-0.152,-0.316,0.642,0.385,0.498,0.488,-0.08,-0.126,0.043,-0.252,0.352
Hsd17b10,-0.028,0.117,-0.148,-0.084,-0.067,-0.007,-0.016,-0.167,-0.026,-0.072,-0.154,-0.322,-0.067
Hsd17b11,-0.368,0.17,-0.115,0.056,0.039,0.029,-0.106,-0.085,-0.035,0.043,-0.047,-0.495,-0.104
Hsd17b12,0.113,0.342,0.164,-0.055,0.085,0.176,0.206,0.18,0.04,0.086,-0.049,0.074,0.068
Hsd17b4,0.216,0.154,0.092,0.161,0.295,0.23,-0.434,-0.61,0.0,0.203,0.264,0.104,0.066
Hsd17b7,0.298,-0.522,-0.014,0.092,0.115,0.007,0.066,0.415,0.064,0.14,0.011,0.108,0.075
Hsdl1,0.175,0.539,0.308,-0.027,-0.214,0.021,0.355,-0.336,0.006,0.266,0.054,0.367,-0.006
Hsdl2,-0.068,-0.08,-0.019,-0.0,0.343,0.164,0.029,0.088,-0.084,-0.099,-0.013,-0.153,-0.103
Hsf1,0.137,0.593,-0.026,0.095,-0.42,0.095,0.125,0.32,-0.203,0.162,-0.062,0.212,0.408
Hsf2,-0.05,-0.136,-0.065,-0.064,-0.596,-0.268,0.172,-0.377,-0.04,0.08,0.116,0.117,-0.228
Hsp90aa1,-0.006,0.035,0.012,0.02,-0.052,0.001,0.235,-0.126,-0.071,0.102,-0.058,-0.135,0.001
Hsp90ab1,0.025,0.036,-0.138,-0.013,0.229,0.012,0.181,-0.036,0.015,-0.036,0.003,-0.095,-0.042
Hsp90b1,-0.056,-0.055,0.099,-0.014,0.066,0.107,0.27,-0.039,0.01,0.13,-0.004,0.052,0.1
Hspa12a,-0.043,0.008,0.158,0.007,0.326,0.277,0.106,-0.326,0.103,0.153,0.187,0.197,
Hspa13,-0.153,-0.426,-0.035,-0.093,-0.02,0.038,0.538,0.412,-0.003,0.112,0.097,0.145,-0.021
Hspa14,0.006,-0.255,-0.02,-0.033,-0.213,-0.242,0.428,0.109,-0.037,0.012,-0.232,-0.257,0.086
Hspa2,0.07,-0.407,-0.075,0.095,-0.542,-0.038,0.064,0.374,-0.037,-0.029,-0.399,-0.128,0.052
Hspa4,-0.054,-0.1,0.016,0.017,-0.005,0.011,0.316,-0.113,0.023,0.128,0.097,-0.014,-0.004
Hspa4l,-0.06,-0.251,0.176,0.047,0.09,0.113,0.48,0.082,0.102,0.082,0.121,0.14,0.123
Hspa5,-0.017,-0.166,0.158,0.13,0.09,0.08,-0.193,0.066,0.09,0.214,-0.095,-0.129,-0.025
Hspa8,-0.009,0.227,-0.103,-0.049,0.251,0.041,-0.286,-0.085,-0.004,0.033,-0.038,-0.115,-0.007
Hspa9,0.022,-0.111,0.057,-0.001,0.007,0.01,-0.416,-0.185,-0.002,0.19,-0.015,0.184,0.09
Hspb1,-0.151,-0.011,-0.414,0.002,1.142,-0.161,-0.321,0.011,-0.13,-0.187,-0.011,-0.703,0.27
Hspb11,-0.024,-0.289,-0.165,0.015,-0.033,-0.195,0.023,-0.289,0.026,-0.111,-0.069,-0.302,-0.285
Hspb8,0.041,0.16,-0.206,0.058,0.228,0.307,0.125,-0.027,-0.07,-0.079,0.032,0.049,-0.436
Hspbap1,-0.317,0.156,0.147,-0.068,1.073,-0.471,-1.702,0.018,0.04,0.222,0.079,-0.027,-0.556
Hspbp1,0.169,-0.415,-0.115,-0.009,0.343,-0.009,-0.179,-0.099,-0.104,-0.014,-0.04,0.157,-0.005
Hspd1,-0.083,0.107,-0.106,-0.003,0.125,0.086,0.101,-0.104,-0.023,0.019,-0.007,-0.069,-0.06
Hspe1,-0.015,-0.157,-0.174,0.013,0.112,0.127,-0.098,-0.25,-0.013,-0.087,-0.046,-0.27,-0.018
Hsph1,-0.033,0.136,0.054,0.13,0.534,-0.208,0.106,0.118,-0.016,0.128,0.135,-0.09,0.121
Htatip2,0.204,-0.824,0.115,-0.086,0.672,0.128,-0.02,0.049,0.056,-0.01,0.208,-0.398,-0.735
Htatsf1,-0.119,0.34,-0.091,-0.024,-0.318,0.07,0.094,-0.036,-0.045,-0.02,-0.013,0.055,0.07
Htr3a,1.057,0.393,0.041,-0.029,1.628,0.319,0.217,-0.503,0.015,0.199,-0.173,-0.035,-0.207
Htr3b,0.519,0.299,,0.06,1.443,0.545,0.194,0.088,0.305,0.098,-0.067,-0.655,-0.041
Htra2,-0.023,,0.015,-0.088,0.839,0.026,0.022,0.06,-0.038,0.065,-0.074,0.009,0.11
Htt,0.328,0.362,0.118,0.138,0.257,0.066,0.2,0.041,0.136,0.194,-0.0,0.093,0.262
Hunk,-0.905,-0.627,-0.229,0.014,-0.038,-0.021,-0.207,0.272,0.102,0.17,0.197,-0.068,-0.494
Huwe1,0.098,0.097,0.143,0.036,-0.164,-0.017,0.278,-0.059,0.1,0.189,0.115,0.084,-0.03
Hyal2,0.013,-0.488,0.215,0.041,-0.398,0.463,-0.408,,-0.263,-0.063,-0.181,0.268,0.264
Hyou1,0.267,-1.316,0.274,0.189,-0.383,0.085,-0.049,0.196,-0.009,0.429,0.142,0.166,
Iah1,-0.216,0.099,0.024,-0.111,-0.067,-0.023,-0.392,-0.618,-0.004,-0.106,-0.037,-0.268,-0.26
Iars,-0.194,-0.004,0.127,-0.132,-0.331,0.274,0.072,-0.469,-0.014,0.089,0.09,0.042,0.047
Iars2,-0.24,-0.041,0.187,0.043,0.591,-0.024,0.273,0.199,0.003,0.079,0.166,0.02,0.148
Ibtk,-0.115,-0.717,0.077,0.083,-0.459,0.13,0.37,-0.616,0.086,0.189,0.001,0.001,-0.176
Ica1,-0.133,-0.28,0.071,-0.012,0.066,0.044,0.263,-0.406,0.035,0.09,-0.113,-0.232,0.144
Ica1l,-0.094,-0.299,-0.083,-0.014,0.293,0.046,0.126,-0.235,0.067,-0.035,0.166,0.07,0.221
Ick,0.514,0.37,0.022,0.114,0.14,-0.024,,-0.357,-0.011,0.105,0.06,0.062,-0.145
Icmt,0.034,0.081,0.37,0.259,0.155,0.722,0.41,-0.13,-0.008,0.342,0.042,0.365,-0.03
Id1,0.005,-0.177,-0.43,-0.299,0.619,-0.028,-0.175,0.123,0.016,-0.13,-0.122,-0.128,-0.366
Id2,-0.004,-0.366,-0.329,0.045,0.367,-0.234,-0.01,-0.118,-0.089,-0.13,0.013,0.078,-0.171
Id3,0.324,0.292,-0.376,-0.238,0.439,0.305,-0.623,-1.196,-0.02,-0.235,0.05,-0.625,-0.431
Id4,1.01,-1.104,-0.146,-0.018,1.159,1.737,-0.22,,0.044,-0.07,0.759,-0.334,0.36
Ide,0.049,-0.04,0.104,-0.082,0.727,0.015,0.239,0.165,0.132,0.097,0.041,0.051,-0.03
Idh1,0.01,-0.25,-0.08,0.076,0.014,0.062,0.17,0.553,-0.02,0.032,0.074,0.098,0.045
Idh2,-0.005,0.076,-0.2,-0.093,-0.505,-0.101,-0.274,-0.277,0.008,0.043,-0.149,0.151,-0.071
Idh3a,0.042,-0.11,0.012,-0.02,0.459,-0.086,0.063,0.118,-0.055,-0.027,-0.03,0.078,-0.017
Idh3b,0.068,-0.036,-0.112,-0.158,0.332,0.039,0.105,0.065,-0.03,-0.038,-0.094,0.08,0.086
Idh3g,0.008,-0.064,-0.017,-0.052,0.081,-0.053,-0.051,-0.086,-0.061,0.013,-0.108,-0.05,0.125
Idi1,-0.04,,-0.187,0.097,0.312,0.205,0.063,-0.301,0.107,0.022,0.019,0.022,-0.04
Ids,-0.166,-0.119,0.059,0.085,0.078,0.126,0.49,-0.201,0.089,0.183,0.109,0.198,0.077
Idua,0.271,0.909,0.208,,-1.05,-1.201,0.279,,0.169,0.115,0.052,-0.472,
Ier2,-0.12,-0.512,-0.469,-0.221,-1.149,-0.828,-0.639,-0.543,-0.142,-0.024,-0.365,-0.146,-0.063
Ier3,-0.212,0.602,-0.553,-0.141,0.897,-0.466,-0.598,0.141,-0.005,0.003,-0.133,-0.32,-0.24
Ier3ip1,0.026,-0.265,-0.031,0.004,0.086,0.061,0.06,-0.067,0.027,-0.093,0.071,-0.2,-0.032
Ier5,-0.552,0.143,-0.34,0.017,-0.791,-0.683,-0.775,,-0.018,0.037,-0.276,-0.281,-0.415
Ier5l,0.074,0.462,-0.126,0.153,-0.73,0.045,-0.282,,0.12,-0.328,-0.286,-0.109,
Iffo1,0.255,-0.463,0.215,-0.109,-0.094,-0.209,0.004,0.186,0.023,0.134,0.027,-0.052,-0.199
Ifi27l2a,-0.161,-0.106,-0.376,-0.971,2.132,0.59,-0.844,-1.294,0.256,-0.137,,,
Ifi30,0.06,1.604,-0.177,0.109,0.596,-0.012,0.282,,-0.106,,0.039,-0.156,0.064
Ifi35,0.454,-0.412,-0.193,-0.108,0.324,0.453,-0.135,-0.235,0.019,0.039,-0.032,-0.065,-0.114
Ifit1,0.008,0.147,-0.391,-0.647,,2.314,-0.173,-0.005,0.451,-0.037,-0.263,0.406,
Ifit2,-0.17,-0.74,-0.323,-0.379,-0.712,0.057,-0.682,-0.677,-0.218,-0.019,-0.05,0.027,
Ifitm2,-0.835,,-0.301,-0.193,-0.338,-0.121,-0.547,-3.669,-0.004,-0.268,-0.303,-0.206,0.081
Ifitm3,0.781,,-0.514,-0.581,1.606,-3.587,-0.803,-0.932,-0.094,-0.213,0.339,0.106,-0.387
Ifnar1,0.223,-0.41,-0.028,-0.036,-0.121,0.064,0.437,-0.322,0.0,0.131,0.048,0.114,0.064
Ifnar2,-0.082,0.24,-0.075,-0.153,-0.591,-0.053,-0.265,0.574,-0.172,-0.099,-0.267,0.337,-0.279
Ifngr1,0.356,0.182,0.061,0.032,0.372,0.72,-0.031,-0.654,0.022,0.157,-0.04,0.028,-0.173
Ifngr2,0.2,0.397,0.023,-0.045,0.238,0.006,0.256,-0.142,0.074,-0.053,-0.017,-0.22,0.123
Ifrd1,-0.32,0.746,-0.13,0.013,-0.319,-0.069,-0.434,-0.462,-0.15,0.071,-0.113,0.032,0.048
Ift122,-1.247,-0.368,0.04,-0.004,-0.02,0.241,-0.121,0.182,0.097,0.227,0.121,0.026,0.132
Ift140,0.003,-0.738,0.161,-0.047,-0.451,-0.195,0.649,0.727,0.178,0.282,-0.186,0.033,-1.126
Ift172,-0.187,-0.118,0.341,-0.057,-0.358,-0.198,-0.37,0.504,0.181,0.3,-0.045,0.101,-0.703
Ift20,0.176,0.072,-0.131,-0.007,-0.017,-0.104,-0.036,-0.202,0.0,-0.082,-0.0,-0.004,-0.076
Ift27,0.038,0.574,-0.154,0.089,-0.232,-0.146,0.085,-0.674,-0.045,-0.111,-0.174,-0.271,-0.085
Ift46,0.013,-0.116,-0.106,-0.002,-0.123,-0.003,0.066,-0.014,-0.073,0.008,-0.043,0.249,-0.17
Ift52,-0.139,-0.012,0.006,0.004,-0.128,0.059,0.038,0.098,-0.001,-0.043,0.023,-0.277,0.005
Ift57,0.008,-1.478,-0.081,-0.026,0.064,0.089,0.298,0.066,-0.078,0.0,-0.097,0.006,-0.357
Ift74,-0.104,0.959,-0.131,0.026,0.061,-0.014,0.064,0.398,-0.24,0.012,-0.135,-0.232,0.084
Ift80,0.06,-0.054,0.133,-0.082,0.176,-0.108,0.234,-0.09,0.096,0.146,0.132,0.065,0.086
Ift81,-0.222,-0.867,-0.08,-0.304,-0.429,-0.138,-1.344,0.566,-0.026,0.027,-0.145,-0.031,0.112
Ift88,-0.098,0.452,0.045,0.039,-0.547,0.088,0.792,-0.079,0.091,-0.13,0.13,0.115,0.015
Igbp1,-0.072,-0.443,-0.089,-0.107,0.253,-0.24,0.056,0.477,-0.044,0.012,-0.027,-0.197,-0.031
Igf1r,0.055,0.054,0.067,0.099,-0.179,0.179,0.476,-0.086,0.017,0.235,0.023,0.049,-0.067
Igfbp4,-0.031,-0.036,-0.159,-0.314,-0.449,-0.863,-0.779,-0.46,-0.175,-0.344,0.175,,0.023
Ighmbp2,-0.436,0.021,0.255,-0.238,-0.143,0.576,,,0.051,0.176,0.037,0.207,-0.572
Igsf10,0.293,0.781,,0.525,-1.21,-0.459,-1.189,,-0.055,0.018,0.054,0.265,
Igsf21,1.002,0.352,0.116,-0.101,0.105,0.084,,,0.095,-0.024,-0.192,0.23,-0.2
Igsf3,0.021,-0.693,0.144,0.136,0.035,-0.135,0.677,0.096,-0.047,0.327,0.04,0.463,-0.072
Igsf8,0.028,-0.392,-0.092,0.049,0.263,0.018,0.404,-0.066,-0.013,0.151,0.263,0.241,0.139
Igtp,-0.111,0.038,-0.141,,,1.89,-0.076,-2.737,0.271,0.031,0.049,0.076,-0.387
Ik,-0.133,0.02,-0.093,-0.021,-0.211,-0.077,-0.034,0.164,0.048,0.018,-0.018,0.071,-0.059
Ikbip,-0.065,-0.307,0.096,0.266,-0.433,-0.191,0.049,-0.541,0.128,0.117,-0.007,-0.003,0.07
Ikbkb,0.054,-0.853,0.158,0.117,0.138,-0.07,-0.007,-0.042,0.097,0.201,0.054,0.023,0.081
Ikbkg,0.245,-0.188,0.053,-0.104,-0.491,-0.203,0.837,,-0.032,0.098,0.181,0.183,-0.204
Ikzf2,0.279,-0.04,-0.019,-0.039,0.24,0.206,,0.301,0.097,0.241,0.143,0.075,0.424
Ikzf5,0.121,0.207,-0.008,0.122,-0.411,0.076,0.176,0.373,0.042,-0.078,0.095,0.05,-0.19
Il10rb,0.109,0.117,0.106,-0.089,0.811,0.617,0.139,-0.36,-0.162,0.016,0.09,0.246,-0.162
Il11ra1,0.135,0.591,-0.04,-0.171,-0.453,-0.128,-0.225,-0.231,-0.007,0.002,-0.112,0.068,-0.128
