,GSE102443 geniculate (VII),GSE135801 geniculate (VII),GSE309608 vestibular (VIII),GSE232789 stellate,GSE232789 coeliac,GSE232789 lumbar chain,GSE231766 superior cervical,GSE231924 stellate,GSE232789 sphenopalatine,GSE330884 intrinsic cardiac,GSE232789 pelvic,"GSE263422 enteric submucosal, P24","GSE263422 enteric submucosal, P7"
2210016L21Rik,0.14,0.059,-0.184,-0.043,0.163,0.025,0.069,0.138,-0.05,-0.078,-0.071,0.016,0.114
2210408I21Rik,0.205,-0.181,0.06,-0.142,0.289,0.003,1.088,,0.033,0.095,0.194,-0.091,0.184
2300009A05Rik,-0.226,-0.105,-0.085,-0.061,0.239,-0.344,0.319,-0.393,-0.028,-0.036,0.243,-0.055,0.081
2310009B15Rik,0.046,0.413,-0.064,-0.011,0.227,-0.275,-0.025,-0.59,0.038,-0.106,0.056,-0.246,0.006
2310011J03Rik,0.092,-0.622,-0.087,0.041,-0.197,-0.284,-0.231,-0.011,-0.015,-0.062,-0.036,0.015,-0.105
2310022A10Rik,-0.758,0.589,0.051,-0.008,0.53,0.095,-0.686,,-0.064,0.132,-0.064,0.325,0.314
2310022B05Rik,0.465,0.133,-0.291,-0.148,-0.391,-0.063,-0.125,-0.291,-0.128,0.077,0.109,-0.008,-0.436
2310033P09Rik,0.132,-1.349,-0.161,0.0,0.215,-0.195,0.172,0.103,-0.137,-0.048,-0.025,-0.18,0.021
2310039H08Rik,0.21,1.364,-0.22,-0.084,0.149,0.088,-0.4,,-0.091,-0.167,0.018,-0.369,-0.079
2310057M21Rik,-0.043,-0.795,-0.082,0.063,-0.264,0.136,0.522,-0.275,0.075,0.053,0.093,-0.096,-0.156
2310061I04Rik,0.023,0.16,0.031,-0.04,-0.103,-0.531,0.158,0.261,-0.063,0.061,-0.034,0.042,0.021
2410002F23Rik,0.04,1.088,0.046,-0.063,-0.286,0.048,0.179,0.054,-0.121,0.087,-0.004,-0.003,0.048
2410004B18Rik,0.146,0.329,-0.079,-0.026,0.056,-0.084,-0.098,-0.163,-0.036,-0.11,-0.02,-0.154,-0.057
2410131K14Rik,0.056,0.443,0.193,-0.124,0.43,0.218,,0.407,-0.046,0.113,-0.075,0.214,-0.028
2510002D24Rik,0.013,-0.486,-0.139,-0.027,0.17,-0.037,0.442,0.316,-0.014,-0.06,-0.062,-0.212,-0.26
2510009E07Rik,-0.109,0.0,-0.033,-0.163,-0.07,-0.644,-0.216,,0.218,-0.014,0.089,0.913,
2510039O18Rik,0.105,-0.205,0.288,0.068,0.499,0.292,0.379,0.518,0.185,0.272,0.007,0.177,-0.018
2610001J05Rik,0.065,0.495,-0.095,0.042,0.149,-0.026,0.321,0.248,0.009,-0.024,0.008,-0.36,0.081
2610002M06Rik,-0.002,-0.06,-0.035,0.069,0.345,0.002,0.444,0.541,-0.079,0.042,-0.113,0.172,-0.092
2610008E11Rik,0.604,-0.708,0.048,-0.06,-0.322,-0.096,-0.991,-0.054,0.085,0.121,-0.039,0.098,0.148
2610035D17Rik,-0.304,0.886,-0.199,-0.114,-0.034,1.103,-0.311,,-0.332,-0.107,0.067,-0.039,
